Record_ID,Latitude,Longitude,Reef_Zone,Depth_m,Structural_Rugosity,Live_Coral_Cover_Pct,Macroalgae_Cover_Pct,Scientific_Attribution
28,18.24161,-87.79323,Fore Reef,12.74,2.48,27.34,29.17,Resultado obtenido mediante prototipo computacional del gemelo digital
29,18.24188,-87.79859,Fore Reef,12.7,2.56,28.69,26.4,Resultado obtenido mediante prototipo computacional del gemelo digital
30,18.24617,-87.80501,Fore Reef,12.38,2.53,25.77,39.36,Resultado obtenido mediante prototipo computacional del gemelo digital
31,18.26096,-87.78754,Fore Reef,12.04,2.47,25.56,46.1,Resultado obtenido mediante prototipo computacional del gemelo digital
32,18.25855,-87.79703,Fore Reef,12.59,2.53,29.02,38.47,Resultado obtenido mediante prototipo computacional del gemelo digital
33,18.2574,-87.79338,Fore Reef,12.45,2.47,26.33,30.11,Resultado obtenido mediante prototipo computacional del gemelo digital
34,18.25397,-87.80379,Fore Reef,12.23,2.5,26.08,34.26,Resultado obtenido mediante prototipo computacional del gemelo digital
35,18.2354,-87.80612,Fore Reef,12.41,2.52,24.78,44.86,Resultado obtenido mediante prototipo computacional del gemelo digital
36,18.24743,-87.79303,Fore Reef,12.12,2.51,24.72,46.65,Resultado obtenido mediante prototipo computacional del gemelo digital
37,18.26459,-87.80256,Fore Reef,12.87,2.5,25.92,39.78,Resultado obtenido mediante prototipo computacional del gemelo digital
38,18.26299,-87.80183,Fore Reef,12.51,2.52,27.47,40.13,Resultado obtenido mediante prototipo computacional del gemelo digital
39,18.26145,-87.79306,Fore Reef,12.75,2.5,27.18,34.96,Resultado obtenido mediante prototipo computacional del gemelo digital
40,18.24729,-87.79557,Fore Reef,12.28,2.52,24.26,55.41,Resultado obtenido mediante prototipo computacional del gemelo digital
41,18.25325,-87.7938,Fore Reef,12.37,2.56,27.88,33.89,Resultado obtenido mediante prototipo computacional del gemelo digital
42,18.25144,-87.79937,Fore Reef,12.68,2.54,26.95,42.39,Resultado obtenido mediante prototipo computacional del gemelo digital
43,18.26058,-87.79875,Fore Reef,12.31,2.56,30.38,30.26,Resultado obtenido mediante prototipo computacional del gemelo digital
44,18.24832,-87.80148,Fore Reef,12.43,2.45,27.55,49.11,Resultado obtenido mediante prototipo computacional del gemelo digital
45,18.23689,-87.7917,Fore Reef,12.46,2.48,24.95,34.45,Resultado obtenido mediante prototipo computacional del gemelo digital
46,18.25851,-87.80213,Fore Reef,12.51,2.52,28.49,30.05,Resultado obtenido mediante prototipo computacional del gemelo digital
47,18.26175,-87.78952,Fore Reef,12.01,2.56,26.6,29.37,Resultado obtenido mediante prototipo computacional del gemelo digital
48,18.24672,-87.81292,Fore Reef,12.73,2.53,28.2,41.74,Resultado obtenido mediante prototipo computacional del gemelo digital
49,18.24982,-87.78917,Fore Reef,12.94,2.56,30.66,38.27,Resultado obtenido mediante prototipo computacional del gemelo digital
50,18.23709,-87.79836,Fore Reef,12.81,2.51,26.48,29.16,Resultado obtenido mediante prototipo computacional del gemelo digital
51,18.25417,-87.78639,Fore Reef,12.58,2.56,30.28,26.96,Resultado obtenido mediante prototipo computacional del gemelo digital
52,18.24239,-87.79428,Fore Reef,12.5,2.53,27.64,36.96,Resultado obtenido mediante prototipo computacional del gemelo digital
53,18.26322,-87.79172,Fore Reef,12.35,2.56,28.98,35.54,Resultado obtenido mediante prototipo computacional del gemelo digital
54,18.26327,-87.81276,Fore Reef,12.53,2.51,26.78,51.83,Resultado obtenido mediante prototipo computacional del gemelo digital
55,18.24411,-87.80565,Fore Reef,12.17,2.48,26.3,34.19,Resultado obtenido mediante prototipo computacional del gemelo digital
56,18.25493,-87.80902,Fore Reef,12.13,2.56,28.75,26.46,Resultado obtenido mediante prototipo computacional del gemelo digital
57,18.25596,-87.80252,Fore Reef,12.9,2.48,26.69,50.23,Resultado obtenido mediante prototipo computacional del gemelo digital
58,18.23895,-87.78936,Fore Reef,12.85,2.53,27.48,45.53,Resultado obtenido mediante prototipo computacional del gemelo digital
59,18.2522,-87.80487,Fore Reef,12.03,2.53,26.96,34.8,Resultado obtenido mediante prototipo computacional del gemelo digital
60,18.25163,-87.80901,Fore Reef,12.24,2.54,26.02,47.34,Resultado obtenido mediante prototipo computacional del gemelo digital
61,18.25624,-87.80073,Fore Reef,12.76,2.49,27.06,43.54,Resultado obtenido mediante prototipo computacional del gemelo digital
62,18.26489,-87.79112,Fore Reef,12.22,2.55,28.64,28.15,Resultado obtenido mediante prototipo computacional del gemelo digital
63,18.26005,-87.78718,Fore Reef,12.32,2.48,26.71,31.88,Resultado obtenido mediante prototipo computacional del gemelo digital
64,18.2546,-87.80923,Fore Reef,12.62,2.56,28.14,36.93,Resultado obtenido mediante prototipo computacional del gemelo digital
65,18.24334,-87.81073,Fore Reef,12.85,2.47,25.28,34.86,Resultado obtenido mediante prototipo computacional del gemelo digital
66,18.2624,-87.80932,Fore Reef,12.06,2.55,26.64,42.14,Resultado obtenido mediante prototipo computacional del gemelo digital
67,18.2457,-87.79228,Fore Reef,12.3,2.52,28.14,30.45,Resultado obtenido mediante prototipo computacional del gemelo digital
68,18.2635,-87.81089,Fore Reef,12.63,2.53,26.17,36.78,Resultado obtenido mediante prototipo computacional del gemelo digital
69,18.26328,-87.81252,Fore Reef,12.78,2.5,25.94,40.05,Resultado obtenido mediante prototipo computacional del gemelo digital
70,18.24169,-87.78881,Fore Reef,12.75,2.52,28.28,30.14,Resultado obtenido mediante prototipo computacional del gemelo digital
71,18.25566,-87.78807,Fore Reef,12.08,2.55,27.83,48.72,Resultado obtenido mediante prototipo computacional del gemelo digital
72,18.23919,-87.79771,Fore Reef,12.78,2.51,27.17,48.26,Resultado obtenido mediante prototipo computacional del gemelo digital
73,18.26284,-87.78965,Fore Reef,12.24,2.56,29.42,42.28,Resultado obtenido mediante prototipo computacional del gemelo digital
74,18.24832,-87.7925,Fore Reef,12.54,2.54,28.71,27.23,Resultado obtenido mediante prototipo computacional del gemelo digital
75,18.24453,-87.78594,Fore Reef,12.31,2.55,29.95,47.65,Resultado obtenido mediante prototipo computacional del gemelo digital
76,18.25474,-87.81476,Fore Reef,12.24,2.55,26.33,31.33,Resultado obtenido mediante prototipo computacional del gemelo digital
77,18.25985,-87.79361,Fore Reef,12.32,2.53,27.75,38.26,Resultado obtenido mediante prototipo computacional del gemelo digital
78,18.24073,-87.80121,Fore Reef,12.3,2.54,29.28,25.78,Resultado obtenido mediante prototipo computacional del gemelo digital
79,18.23657,-87.81021,Fore Reef,12.08,2.49,25.29,34.59,Resultado obtenido mediante prototipo computacional del gemelo digital
80,18.25845,-87.80559,Fore Reef,12.7,2.52,27.77,28.56,Resultado obtenido mediante prototipo computacional del gemelo digital
81,18.24731,-87.8101,Fore Reef,12.32,2.52,25.56,52.11,Resultado obtenido mediante prototipo computacional del gemelo digital
82,18.25158,-87.80851,Fore Reef,12.3,2.5,26.64,36.02,Resultado obtenido mediante prototipo computacional del gemelo digital
83,18.2424,-87.78572,Fore Reef,12.34,2.53,25.2,34.73,Resultado obtenido mediante prototipo computacional del gemelo digital
84,18.24007,-87.80445,Fore Reef,12.51,2.46,26.28,50.79,Resultado obtenido mediante prototipo computacional del gemelo digital
85,18.23799,-87.7969,Fore Reef,12.25,2.52,25.13,51.64,Resultado obtenido mediante prototipo computacional del gemelo digital
86,18.26391,-87.81095,Fore Reef,12.89,2.45,25.59,52.07,Resultado obtenido mediante prototipo computacional del gemelo digital
87,18.2384,-87.78509,Fore Reef,12.59,2.54,27.14,35.32,Resultado obtenido mediante prototipo computacional del gemelo digital
88,18.24694,-87.79082,Fore Reef,12.17,2.47,29.01,30.85,Resultado obtenido mediante prototipo computacional del gemelo digital
89,18.25244,-87.80739,Fore Reef,12.08,2.48,27.46,37.18,Resultado obtenido mediante prototipo computacional del gemelo digital
90,18.24365,-87.80604,Fore Reef,12.01,2.56,28.81,35.07,Resultado obtenido mediante prototipo computacional del gemelo digital
91,18.23743,-87.79011,Fore Reef,12.4,2.51,26.45,50.1,Resultado obtenido mediante prototipo computacional del gemelo digital
92,18.255,-87.81141,Fore Reef,12.26,2.47,25.12,36.41,Resultado obtenido mediante prototipo computacional del gemelo digital
93,18.25071,-87.80653,Fore Reef,12.28,2.48,25.61,40.61,Resultado obtenido mediante prototipo computacional del gemelo digital
94,18.24698,-87.79704,Fore Reef,12.15,2.52,27.26,45.95,Resultado obtenido mediante prototipo computacional del gemelo digital
95,18.26,-87.80591,Fore Reef,12.63,2.49,26.97,28.65,Resultado obtenido mediante prototipo computacional del gemelo digital
96,18.2373,-87.81002,Fore Reef,12.5,2.55,28.98,39.36,Resultado obtenido mediante prototipo computacional del gemelo digital
97,18.24093,-87.80958,Fore Reef,12.53,2.56,29.89,46.73,Resultado obtenido mediante prototipo computacional del gemelo digital
98,18.24263,-87.80614,Fore Reef,12.68,2.47,25.23,51.86,Resultado obtenido mediante prototipo computacional del gemelo digital
99,18.25874,-87.78753,Fore Reef,12.31,2.12,17.62,54.51,Resultado obtenido mediante prototipo computacional del gemelo digital
100,18.23539,-87.8082,Fore Reef,12.35,2.07,16.56,41.59,Resultado obtenido mediante prototipo computacional del gemelo digital
101,18.23704,-87.80845,Fore Reef,12.47,2.12,18.57,48.84,Resultado obtenido mediante prototipo computacional del gemelo digital
102,18.2435,-87.78988,Fore Reef,12.37,2.23,22.04,38.27,Resultado obtenido mediante prototipo computacional del gemelo digital
103,18.23577,-87.7984,Fore Reef,12.99,2.16,20.0,59.81,Resultado obtenido mediante prototipo computacional del gemelo digital
104,18.26452,-87.79111,Fore Reef,12.68,2.56,25.44,31.14,Resultado obtenido mediante prototipo computacional del gemelo digital
105,18.23567,-87.78534,Fore Reef,12.97,2.53,29.52,35.99,Resultado obtenido mediante prototipo computacional del gemelo digital
106,18.25442,-87.78969,Fore Reef,12.69,2.55,27.4,36.9,Resultado obtenido mediante prototipo computacional del gemelo digital
107,18.23704,-87.80956,Fore Reef,12.89,2.52,26.32,40.63,Resultado obtenido mediante prototipo computacional del gemelo digital
108,18.23883,-87.80273,Fore Reef,12.3,2.5,27.32,41.83,Resultado obtenido mediante prototipo computacional del gemelo digital
109,18.25982,-87.80736,Fore Reef,12.04,2.54,26.29,51.98,Resultado obtenido mediante prototipo computacional del gemelo digital
110,18.25582,-87.80952,Fore Reef,12.42,2.56,28.7,49.78,Resultado obtenido mediante prototipo computacional del gemelo digital
111,18.25426,-87.80673,Fore Reef,12.12,2.54,26.57,47.09,Resultado obtenido mediante prototipo computacional del gemelo digital
112,18.24654,-87.80192,Fore Reef,12.59,2.56,27.53,32.7,Resultado obtenido mediante prototipo computacional del gemelo digital
113,18.2609,-87.80574,Fore Reef,12.27,2.54,29.02,41.3,Resultado obtenido mediante prototipo computacional del gemelo digital
114,18.23671,-87.81087,Fore Reef,12.9,2.53,27.83,44.17,Resultado obtenido mediante prototipo computacional del gemelo digital
115,18.23751,-87.80342,Fore Reef,12.89,2.5,26.92,32.98,Resultado obtenido mediante prototipo computacional del gemelo digital
116,18.25408,-87.80305,Fore Reef,12.52,2.51,26.53,45.64,Resultado obtenido mediante prototipo computacional del gemelo digital
117,18.2621,-87.80698,Fore Reef,12.08,2.55,27.52,32.78,Resultado obtenido mediante prototipo computacional del gemelo digital
118,18.24418,-87.81309,Fore Reef,12.01,2.54,26.27,47.64,Resultado obtenido mediante prototipo computacional del gemelo digital
119,18.24421,-87.78921,Fore Reef,12.22,2.54,29.09,34.95,Resultado obtenido mediante prototipo computacional del gemelo digital
120,18.26297,-87.78698,Fore Reef,12.47,2.54,29.35,26.12,Resultado obtenido mediante prototipo computacional del gemelo digital
121,18.25389,-87.7891,Fore Reef,12.98,2.54,27.17,35.45,Resultado obtenido mediante prototipo computacional del gemelo digital
122,18.26108,-87.7991,Fore Reef,12.41,2.54,26.86,41.85,Resultado obtenido mediante prototipo computacional del gemelo digital
123,18.26086,-87.81184,Fore Reef,12.51,2.52,28.58,39.46,Resultado obtenido mediante prototipo computacional del gemelo digital
124,18.25732,-87.79367,Fore Reef,12.75,2.54,26.3,51.88,Resultado obtenido mediante prototipo computacional del gemelo digital
125,18.26132,-87.7918,Fore Reef,12.03,2.54,28.7,30.92,Resultado obtenido mediante prototipo computacional del gemelo digital
126,18.24478,-87.78638,Fore Reef,12.02,2.51,27.35,31.18,Resultado obtenido mediante prototipo computacional del gemelo digital
127,18.24518,-87.79373,Fore Reef,12.31,2.56,28.31,30.69,Resultado obtenido mediante prototipo computacional del gemelo digital
128,18.26009,-87.79993,Fore Reef,12.8,2.55,26.04,51.07,Resultado obtenido mediante prototipo computacional del gemelo digital
129,18.24734,-87.7951,Fore Reef,12.4,2.52,28.73,34.9,Resultado obtenido mediante prototipo computacional del gemelo digital
130,18.25361,-87.80067,Fore Reef,12.77,2.53,28.85,38.45,Resultado obtenido mediante prototipo computacional del gemelo digital
131,18.26279,-87.79642,Fore Reef,12.69,2.51,27.2,36.02,Resultado obtenido mediante prototipo computacional del gemelo digital
132,18.24079,-87.80086,Fore Reef,12.38,2.49,28.57,33.61,Resultado obtenido mediante prototipo computacional del gemelo digital
133,18.25136,-87.80879,Fore Reef,12.23,2.48,25.65,49.3,Resultado obtenido mediante prototipo computacional del gemelo digital
134,18.24347,-87.81257,Fore Reef,12.73,2.43,24.31,44.59,Resultado obtenido mediante prototipo computacional del gemelo digital
135,18.26118,-87.81239,Fore Reef,12.69,2.52,27.13,47.46,Resultado obtenido mediante prototipo computacional del gemelo digital
136,18.25874,-87.79696,Fore Reef,12.54,2.52,27.79,27.57,Resultado obtenido mediante prototipo computacional del gemelo digital
137,18.25289,-87.80046,Fore Reef,12.38,2.46,24.7,52.48,Resultado obtenido mediante prototipo computacional del gemelo digital
138,18.25033,-87.80214,Fore Reef,12.02,2.49,28.49,34.84,Resultado obtenido mediante prototipo computacional del gemelo digital
139,18.24428,-87.7869,Fore Reef,12.5,2.49,27.51,42.04,Resultado obtenido mediante prototipo computacional del gemelo digital
140,18.24322,-87.79017,Fore Reef,12.79,2.51,26.75,36.24,Resultado obtenido mediante prototipo computacional del gemelo digital
141,18.25589,-87.80921,Fore Reef,12.53,2.5,25.79,47.59,Resultado obtenido mediante prototipo computacional del gemelo digital
142,18.23872,-87.81136,Fore Reef,12.18,2.52,27.92,37.51,Resultado obtenido mediante prototipo computacional del gemelo digital
143,18.24657,-87.7998,Fore Reef,12.75,2.52,26.56,34.08,Resultado obtenido mediante prototipo computacional del gemelo digital
144,18.24474,-87.79482,Fore Reef,12.18,2.5,27.01,51.42,Resultado obtenido mediante prototipo computacional del gemelo digital
145,18.25876,-87.80293,Fore Reef,12.38,2.51,27.19,41.15,Resultado obtenido mediante prototipo computacional del gemelo digital
146,18.25352,-87.78846,Fore Reef,12.4,2.49,28.17,43.07,Resultado obtenido mediante prototipo computacional del gemelo digital
147,18.23787,-87.80243,Fore Reef,12.17,2.06,17.36,58.4,Resultado obtenido mediante prototipo computacional del gemelo digital
148,18.25585,-87.81468,Fore Reef,12.85,2.29,22.85,35.63,Resultado obtenido mediante prototipo computacional del gemelo digital
149,18.25509,-87.80293,Fore Reef,12.63,2.3,23.97,44.12,Resultado obtenido mediante prototipo computacional del gemelo digital
150,18.26016,-87.79074,Fore Reef,12.01,2.51,26.91,28.44,Resultado obtenido mediante prototipo computacional del gemelo digital
151,18.24786,-87.79614,Fore Reef,12.63,2.56,29.63,47.89,Resultado obtenido mediante prototipo computacional del gemelo digital
152,18.26052,-87.79277,Fore Reef,12.65,2.56,28.77,35.22,Resultado obtenido mediante prototipo computacional del gemelo digital
153,18.26362,-87.78903,Fore Reef,12.67,2.56,29.74,47.3,Resultado obtenido mediante prototipo computacional del gemelo digital
154,18.25751,-87.80568,Fore Reef,12.86,2.53,27.78,39.52,Resultado obtenido mediante prototipo computacional del gemelo digital
155,18.2649,-87.80219,Fore Reef,12.03,2.56,28.95,29.46,Resultado obtenido mediante prototipo computacional del gemelo digital
156,18.2504,-87.79354,Fore Reef,12.2,2.51,28.4,47.21,Resultado obtenido mediante prototipo computacional del gemelo digital
157,18.23874,-87.78616,Fore Reef,12.77,2.56,29.6,37.36,Resultado obtenido mediante prototipo computacional del gemelo digital
158,18.2646,-87.80747,Fore Reef,12.91,2.54,29.15,31.05,Resultado obtenido mediante prototipo computacional del gemelo digital
159,18.25627,-87.79737,Fore Reef,12.39,2.56,28.38,31.03,Resultado obtenido mediante prototipo computacional del gemelo digital
160,18.25539,-87.79789,Fore Reef,12.94,2.56,28.62,27.94,Resultado obtenido mediante prototipo computacional del gemelo digital
161,18.23772,-87.79496,Fore Reef,12.85,2.53,26.84,45.77,Resultado obtenido mediante prototipo computacional del gemelo digital
162,18.24056,-87.80954,Fore Reef,12.84,2.53,26.5,49.91,Resultado obtenido mediante prototipo computacional del gemelo digital
163,18.25244,-87.79345,Fore Reef,12.6,2.52,25.93,47.51,Resultado obtenido mediante prototipo computacional del gemelo digital
164,18.23819,-87.79035,Fore Reef,12.75,2.55,27.07,47.17,Resultado obtenido mediante prototipo computacional del gemelo digital
165,18.23523,-87.80024,Fore Reef,12.28,2.5,26.33,41.27,Resultado obtenido mediante prototipo computacional del gemelo digital
166,18.25646,-87.80687,Fore Reef,12.72,2.52,26.81,50.95,Resultado obtenido mediante prototipo computacional del gemelo digital
167,18.2574,-87.81462,Fore Reef,12.18,2.52,25.25,52.47,Resultado obtenido mediante prototipo computacional del gemelo digital
168,18.2469,-87.80206,Fore Reef,12.0,2.48,29.44,39.11,Resultado obtenido mediante prototipo computacional del gemelo digital
169,18.23874,-87.79543,Fore Reef,12.45,2.56,27.45,29.31,Resultado obtenido mediante prototipo computacional del gemelo digital
170,18.24999,-87.79206,Fore Reef,12.81,2.56,30.42,48.61,Resultado obtenido mediante prototipo computacional del gemelo digital
171,18.25073,-87.79499,Fore Reef,12.91,2.55,26.77,41.01,Resultado obtenido mediante prototipo computacional del gemelo digital
172,18.24862,-87.79979,Fore Reef,12.93,2.53,26.81,28.96,Resultado obtenido mediante prototipo computacional del gemelo digital
173,18.25118,-87.80735,Fore Reef,12.75,2.53,27.84,39.31,Resultado obtenido mediante prototipo computacional del gemelo digital
174,18.24515,-87.78758,Fore Reef,12.66,2.53,25.48,31.23,Resultado obtenido mediante prototipo computacional del gemelo digital
175,18.2571,-87.79997,Fore Reef,12.14,2.52,27.69,30.58,Resultado obtenido mediante prototipo computacional del gemelo digital
176,18.25396,-87.79919,Fore Reef,12.68,2.52,29.39,35.46,Resultado obtenido mediante prototipo computacional del gemelo digital
177,18.26495,-87.79876,Fore Reef,12.99,2.55,27.91,47.02,Resultado obtenido mediante prototipo computacional del gemelo digital
178,18.25778,-87.79641,Fore Reef,12.51,2.48,25.18,47.17,Resultado obtenido mediante prototipo computacional del gemelo digital
179,18.244,-87.81442,Fore Reef,12.03,2.51,29.4,26.84,Resultado obtenido mediante prototipo computacional del gemelo digital
180,18.24552,-87.79002,Fore Reef,12.91,2.52,26.83,38.82,Resultado obtenido mediante prototipo computacional del gemelo digital
181,18.24071,-87.79937,Fore Reef,12.07,2.53,25.67,37.23,Resultado obtenido mediante prototipo computacional del gemelo digital
182,18.2376,-87.80789,Fore Reef,12.12,2.54,28.22,38.15,Resultado obtenido mediante prototipo computacional del gemelo digital
183,18.23895,-87.78839,Fore Reef,12.22,2.48,26.0,48.34,Resultado obtenido mediante prototipo computacional del gemelo digital
184,18.24218,-87.79628,Fore Reef,12.88,2.49,26.55,29.63,Resultado obtenido mediante prototipo computacional del gemelo digital
185,18.23521,-87.79084,Fore Reef,12.41,2.49,26.87,48.7,Resultado obtenido mediante prototipo computacional del gemelo digital
186,18.23778,-87.80302,Fore Reef,12.51,2.54,26.76,46.72,Resultado obtenido mediante prototipo computacional del gemelo digital
187,18.24582,-87.79241,Fore Reef,12.13,2.56,28.18,27.22,Resultado obtenido mediante prototipo computacional del gemelo digital
188,18.2538,-87.81414,Fore Reef,12.28,2.48,26.87,49.27,Resultado obtenido mediante prototipo computacional del gemelo digital
189,18.25569,-87.78664,Fore Reef,12.44,2.52,25.73,53.8,Resultado obtenido mediante prototipo computacional del gemelo digital
190,18.25235,-87.79707,Fore Reef,12.03,2.54,26.64,51.62,Resultado obtenido mediante prototipo computacional del gemelo digital
191,18.24153,-87.80749,Fore Reef,12.46,2.54,28.51,49.44,Resultado obtenido mediante prototipo computacional del gemelo digital
192,18.24905,-87.78941,Fore Reef,12.93,2.49,26.02,52.71,Resultado obtenido mediante prototipo computacional del gemelo digital
193,18.24738,-87.81199,Fore Reef,12.02,2.48,27.02,52.86,Resultado obtenido mediante prototipo computacional del gemelo digital
194,18.26494,-87.78926,Fore Reef,12.98,2.54,26.34,46.94,Resultado obtenido mediante prototipo computacional del gemelo digital
195,18.24147,-87.79059,Fore Reef,12.54,2.55,29.23,42.24,Resultado obtenido mediante prototipo computacional del gemelo digital
196,18.25604,-87.81457,Fore Reef,12.6,2.52,27.47,46.09,Resultado obtenido mediante prototipo computacional del gemelo digital
197,18.24139,-87.79677,Fore Reef,12.64,2.56,28.17,30.33,Resultado obtenido mediante prototipo computacional del gemelo digital
198,18.24282,-87.80609,Fore Reef,12.96,2.5,29.27,30.35,Resultado obtenido mediante prototipo computacional del gemelo digital
199,18.24322,-87.8054,Fore Reef,12.8,2.51,27.43,50.16,Resultado obtenido mediante prototipo computacional del gemelo digital
200,18.24924,-87.80416,Fore Reef,12.53,2.51,26.06,49.15,Resultado obtenido mediante prototipo computacional del gemelo digital
201,18.26225,-87.79686,Fore Reef,12.56,2.46,26.1,30.95,Resultado obtenido mediante prototipo computacional del gemelo digital
202,18.24395,-87.79483,Fore Reef,12.28,2.54,27.2,50.75,Resultado obtenido mediante prototipo computacional del gemelo digital
203,18.26251,-87.7975,Fore Reef,12.82,2.56,29.19,27.17,Resultado obtenido mediante prototipo computacional del gemelo digital
204,18.2525,-87.79296,Fore Reef,12.03,2.56,27.43,49.48,Resultado obtenido mediante prototipo computacional del gemelo digital
205,18.26096,-87.79691,Fore Reef,12.12,2.56,27.58,31.49,Resultado obtenido mediante prototipo computacional del gemelo digital
206,18.25099,-87.80086,Fore Reef,12.74,2.47,25.46,33.3,Resultado obtenido mediante prototipo computacional del gemelo digital
207,18.2554,-87.80891,Fore Reef,13.0,2.55,28.43,38.94,Resultado obtenido mediante prototipo computacional del gemelo digital
208,18.23979,-87.78843,Fore Reef,12.88,2.53,25.31,45.46,Resultado obtenido mediante prototipo computacional del gemelo digital
209,18.23803,-87.80903,Fore Reef,12.0,2.56,27.73,49.96,Resultado obtenido mediante prototipo computacional del gemelo digital
210,18.25578,-87.80769,Fore Reef,12.1,2.56,28.78,29.0,Resultado obtenido mediante prototipo computacional del gemelo digital
211,18.2498,-87.81488,Fore Reef,12.38,2.55,27.47,39.95,Resultado obtenido mediante prototipo computacional del gemelo digital
212,18.24008,-87.80937,Fore Reef,12.09,2.56,28.0,41.63,Resultado obtenido mediante prototipo computacional del gemelo digital
213,18.26209,-87.81347,Fore Reef,12.34,2.51,25.29,43.16,Resultado obtenido mediante prototipo computacional del gemelo digital
214,18.25027,-87.81313,Fore Reef,12.44,2.47,26.32,33.58,Resultado obtenido mediante prototipo computacional del gemelo digital
215,18.2561,-87.81435,Fore Reef,12.16,2.55,26.6,52.95,Resultado obtenido mediante prototipo computacional del gemelo digital
216,18.24083,-87.79814,Fore Reef,12.08,2.51,25.88,45.56,Resultado obtenido mediante prototipo computacional del gemelo digital
217,18.26437,-87.80341,Fore Reef,12.42,2.52,28.23,45.84,Resultado obtenido mediante prototipo computacional del gemelo digital
218,18.26105,-87.80258,Fore Reef,12.27,2.54,29.06,30.31,Resultado obtenido mediante prototipo computacional del gemelo digital
219,18.25396,-87.79989,Fore Reef,12.92,2.51,25.31,34.67,Resultado obtenido mediante prototipo computacional del gemelo digital
220,18.26176,-87.79301,Fore Reef,12.99,2.52,27.77,36.09,Resultado obtenido mediante prototipo computacional del gemelo digital
221,18.26256,-87.80179,Fore Reef,12.8,2.56,29.38,39.53,Resultado obtenido mediante prototipo computacional del gemelo digital
222,18.23877,-87.80567,Fore Reef,12.77,2.53,26.65,48.62,Resultado obtenido mediante prototipo computacional del gemelo digital
223,18.25704,-87.80744,Fore Reef,12.08,2.5,26.74,48.74,Resultado obtenido mediante prototipo computacional del gemelo digital
