Record_ID,Date,Station_Name,Region,Latitude,Longitude,Reef_Zone,Depth_m,SST_degC,SST_Anomaly_degC,DHW_degC_weeks,pH_total,Aragonite_Saturation_Omega,Turbidity_NTU,PAR_umol_m2_s,Live_Coral_Cover_Pct,Macroalgae_Cover_Pct,Structural_Rugosity,Shannon_Diversity_H,Bleaching_Severity_Pct,Coral_Cover_Loss_Pct,Bleaching_Risk,Data_Source_Type,Scientific_Attribution
12,2015-03-05,Mesoamerican_Fore_01,Caribbean,18.24875,-87.79156,Fore Reef,12.76,27.11,-0.21,0.0,8.115,3.87,0.46,1512.6,29.07,45.13,2.55,2.67,5.54,1.41,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
13,2015-03-12,Mesoamerican_Fore_01,Caribbean,18.24237,-87.80292,Fore Reef,12.0,27.6,0.08,0.0,8.104,3.7,1.2,1456.1,26.57,47.08,2.48,2.59,8.17,11.92,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
14,2015-03-18,Mesoamerican_Fore_01,Caribbean,18.24659,-87.79778,Fore Reef,12.85,28.58,0.87,0.0,8.041,3.22,0.61,1548.2,25.25,29.94,2.51,2.62,6.3,8.05,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
15,2015-03-22,Mesoamerican_Fore_01,Caribbean,18.23931,-87.8021,Fore Reef,12.85,27.95,0.12,0.0,8.091,3.57,0.84,1595.9,26.67,32.34,2.54,2.66,13.48,3.22,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
16,2015-04-04,Mesoamerican_Fore_01,Caribbean,18.24593,-87.80614,Fore Reef,12.46,28.58,0.36,0.0,8.06,3.38,1.0,1610.3,27.87,36.23,2.55,2.67,4.55,1.83,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
17,2015-04-13,Mesoamerican_Fore_01,Caribbean,18.25271,-87.81316,Fore Reef,12.72,28.33,-0.16,0.0,8.098,3.5,1.19,1718.4,24.13,42.57,2.5,2.61,7.44,9.62,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
18,2015-04-20,Mesoamerican_Fore_01,Caribbean,18.25777,-87.79671,Fore Reef,12.82,28.54,-0.15,0.0,8.059,3.42,0.45,1741.1,28.66,40.94,2.51,2.63,5.36,7.43,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
19,2015-05-01,Mesoamerican_Fore_01,Caribbean,18.23562,-87.80693,Fore Reef,12.27,28.75,-0.21,0.0,8.05,3.23,0.36,1765.6,25.49,35.67,2.54,2.66,10.12,2.74,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
20,2015-05-05,Mesoamerican_Fore_01,Caribbean,18.24846,-87.81023,Fore Reef,12.1,28.98,-0.08,0.0,8.112,3.72,0.72,1895.0,28.16,27.53,2.54,2.65,9.25,3.82,Low,Digital_Twin_Simulated,Resultado obtenido mediante prototipo computacional del gemelo digital
21,2015-05-15,Mesoamerican_Fore_01,Caribbean,18.25148,-87.80564,Fore Reef,12.51,29.19,-0.07,0.0,8.068,3.37,0.98,1870.5,28.47,40.65,2.51,2.63,5.35,7.12,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
22,2015-05-20,Mesoamerican_Fore_01,Caribbean,18.25619,-87.79897,Fore Reef,12.43,29.54,0.2,0.18,8.055,3.27,0.63,1916.8,25.74,41.74,2.5,2.61,11.31,9.35,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
23,2015-05-25,Mesoamerican_Fore_01,Caribbean,18.24439,-87.78694,Fore Reef,12.98,29.37,-0.05,0.12,8.022,3.11,0.6,1795.8,28.26,49.97,2.49,2.6,13.74,10.74,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
24,2015-05-30,Mesoamerican_Fore_01,Caribbean,18.24568,-87.81248,Fore Reef,12.68,29.14,-0.34,0.0,8.078,3.4,0.37,1877.8,27.83,45.99,2.49,2.6,11.89,10.34,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
25,2015-06-02,Mesoamerican_Fore_01,Caribbean,18.23809,-87.79857,Fore Reef,12.56,29.55,0.04,0.59,8.058,3.29,0.65,1894.2,26.24,29.33,2.49,2.59,14.69,11.35,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
26,2015-06-07,Mesoamerican_Fore_01,Caribbean,18.23932,-87.79714,Fore Reef,12.93,29.64,0.09,0.35,8.032,3.11,0.52,1958.8,28.99,33.76,2.48,2.59,11.5,12.17,Low,Digital_Twin_Simulated,Resultado obtenido mediante prototipo computacional del gemelo digital
27,2015-06-16,Mesoamerican_Fore_01,Caribbean,18.25516,-87.79749,Fore Reef,12.25,29.57,-0.03,0.56,8.044,3.18,0.47,1931.1,23.7,45.04,2.46,2.56,14.06,15.0,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
28,2015-06-20,Mesoamerican_Fore_01,Caribbean,18.24161,-87.79323,Fore Reef,12.74,29.57,-0.03,0.52,8.039,3.12,1.32,1745.8,27.34,29.17,2.48,2.59,15.1,12.05,Medium,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
29,2015-06-24,Mesoamerican_Fore_01,Caribbean,18.24188,-87.79859,Fore Reef,12.7,29.76,0.16,0.7,8.034,3.11,1.13,1825.3,28.69,26.4,2.56,2.69,11.32,0.0,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
30,2015-06-28,Mesoamerican_Fore_01,Caribbean,18.24617,-87.80501,Fore Reef,12.38,29.73,0.15,0.92,8.034,3.15,0.42,1782.2,25.77,39.36,2.53,2.65,3.81,4.81,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
31,2015-06-29,Mesoamerican_Fore_01,Caribbean,18.26096,-87.78754,Fore Reef,12.04,29.12,-0.46,0.0,8.063,3.38,0.11,1821.9,25.56,46.1,2.47,2.58,14.52,13.71,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
32,2015-07-03,Mesoamerican_Fore_01,Caribbean,18.25855,-87.79703,Fore Reef,12.59,29.45,-0.11,0.46,8.087,3.57,0.7,1741.7,29.02,38.47,2.53,2.64,8.6,5.12,Low,Digital_Twin_Simulated,Resultado obtenido mediante prototipo computacional del gemelo digital
33,2015-07-04,Mesoamerican_Fore_01,Caribbean,18.2574,-87.79338,Fore Reef,12.45,29.35,-0.2,0.08,8.013,3.01,0.25,1813.7,26.33,30.11,2.47,2.57,10.34,14.01,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
34,2015-07-08,Mesoamerican_Fore_01,Caribbean,18.25397,-87.80379,Fore Reef,12.23,29.49,-0.03,0.39,8.075,3.47,0.26,1802.5,26.08,34.26,2.5,2.61,9.39,9.78,Low,Digital_Twin_Simulated,Resultado obtenido mediante prototipo computacional del gemelo digital
35,2015-07-12,Mesoamerican_Fore_01,Caribbean,18.2354,-87.80612,Fore Reef,12.41,29.64,0.16,0.27,8.052,3.25,1.04,1756.7,24.78,44.86,2.52,2.64,10.03,5.78,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
36,2015-07-14,Mesoamerican_Fore_01,Caribbean,18.24743,-87.79303,Fore Reef,12.12,29.26,-0.19,0.08,8.092,3.64,0.36,1835.9,24.72,46.65,2.51,2.62,8.94,8.47,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
37,2015-07-16,Mesoamerican_Fore_01,Caribbean,18.26459,-87.80256,Fore Reef,12.87,29.71,0.28,0.34,8.094,3.51,0.23,1716.9,25.92,39.78,2.5,2.61,5.31,8.93,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
38,2015-07-23,Mesoamerican_Fore_01,Caribbean,18.26299,-87.80183,Fore Reef,12.51,29.11,-0.21,0.0,8.099,3.58,0.22,1699.5,27.47,40.13,2.52,2.63,8.29,7.0,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
39,2015-07-31,Mesoamerican_Fore_01,Caribbean,18.26145,-87.79306,Fore Reef,12.75,29.25,0.07,0.08,8.054,3.33,1.25,1574.7,27.18,34.96,2.5,2.61,14.09,9.94,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
40,2015-08-03,Mesoamerican_Fore_01,Caribbean,18.24729,-87.79557,Fore Reef,12.28,29.38,0.27,0.15,8.059,3.31,0.3,1708.8,24.26,55.41,2.52,2.64,9.26,5.57,Low,Digital_Twin_Simulated,Resultado obtenido mediante prototipo computacional del gemelo digital
41,2015-08-18,Mesoamerican_Fore_01,Caribbean,18.25325,-87.7938,Fore Reef,12.37,28.42,-0.33,0.0,8.071,3.46,1.14,1535.1,27.88,33.89,2.56,2.69,0.0,0.0,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
42,2015-08-27,Mesoamerican_Fore_01,Caribbean,18.25144,-87.79937,Fore Reef,12.68,28.48,-0.03,0.0,8.064,3.46,0.37,1533.5,26.95,42.39,2.54,2.66,2.96,2.73,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
43,2015-08-28,Mesoamerican_Fore_01,Caribbean,18.26058,-87.79875,Fore Reef,12.31,28.65,0.17,0.0,8.051,3.25,1.23,1390.6,30.38,30.26,2.56,2.69,5.27,0.0,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
44,2015-08-29,Mesoamerican_Fore_01,Caribbean,18.24832,-87.80148,Fore Reef,12.43,28.86,0.41,0.0,8.054,3.26,0.66,1480.1,27.55,49.11,2.45,2.55,11.23,17.07,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
45,2015-09-09,Mesoamerican_Fore_01,Caribbean,18.23689,-87.7917,Fore Reef,12.46,28.53,0.41,0.0,8.12,3.75,0.85,1332.0,24.95,34.45,2.48,2.59,10.63,11.88,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
46,2015-09-14,Mesoamerican_Fore_01,Caribbean,18.25851,-87.80213,Fore Reef,12.51,28.16,0.18,0.0,8.092,3.61,0.16,1379.2,28.49,30.05,2.52,2.63,6.18,6.6,Low,Digital_Twin_Simulated,Resultado obtenido mediante prototipo computacional del gemelo digital
47,2015-09-15,Mesoamerican_Fore_01,Caribbean,18.26175,-87.78952,Fore Reef,12.01,27.83,-0.11,0.0,8.112,3.79,0.38,1437.7,26.6,29.37,2.56,2.69,2.35,0.0,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
48,2015-09-21,Mesoamerican_Fore_01,Caribbean,18.24672,-87.81292,Fore Reef,12.73,27.7,-0.06,0.0,8.071,3.44,1.09,1228.9,28.2,41.74,2.53,2.65,6.62,4.65,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
49,2015-09-24,Mesoamerican_Fore_01,Caribbean,18.24982,-87.78917,Fore Reef,12.94,27.45,-0.21,0.0,8.092,3.71,0.59,1309.8,30.66,38.27,2.56,2.69,0.97,0.0,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
50,2015-09-28,Mesoamerican_Fore_01,Caribbean,18.23709,-87.79836,Fore Reef,12.81,27.71,0.16,0.0,8.081,3.61,0.39,1231.6,26.48,29.16,2.51,2.63,8.63,7.36,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
51,2015-10-07,Mesoamerican_Fore_01,Caribbean,18.25417,-87.78639,Fore Reef,12.58,26.94,-0.33,0.0,8.083,3.55,0.58,1134.3,30.28,26.96,2.56,2.69,5.54,0.0,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
52,2015-10-17,Mesoamerican_Fore_01,Caribbean,18.24239,-87.79428,Fore Reef,12.5,26.87,-0.12,0.0,8.078,3.6,0.37,1118.4,27.64,36.96,2.53,2.65,4.71,4.39,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
53,2015-10-19,Mesoamerican_Fore_01,Caribbean,18.26322,-87.79172,Fore Reef,12.35,26.9,-0.03,0.0,8.071,3.61,0.61,1094.4,28.98,35.54,2.56,2.68,3.77,0.4,Low,Digital_Twin_Simulated,Resultado obtenido mediante prototipo computacional del gemelo digital
54,2015-10-23,Mesoamerican_Fore_01,Caribbean,18.26327,-87.81276,Fore Reef,12.53,27.22,0.4,0.0,8.12,3.82,0.4,1107.4,26.78,51.83,2.51,2.62,4.11,8.67,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
55,2015-10-26,Mesoamerican_Fore_01,Caribbean,18.24411,-87.80565,Fore Reef,12.17,26.43,-0.32,0.0,8.107,3.76,0.36,1117.1,26.3,34.19,2.48,2.58,8.6,12.71,Low,Digital_Twin_Simulated,Resultado obtenido mediante prototipo computacional del gemelo digital
56,2015-10-27,Mesoamerican_Fore_01,Caribbean,18.25493,-87.80902,Fore Reef,12.13,26.42,-0.3,0.0,8.103,3.79,1.42,973.4,28.75,26.46,2.56,2.69,1.31,0.0,Low,Digital_Twin_Simulated,Resultado obtenido mediante prototipo computacional del gemelo digital
57,2015-11-06,Mesoamerican_Fore_01,Caribbean,18.25596,-87.80252,Fore Reef,12.9,25.98,-0.51,0.0,8.102,3.79,1.93,930.9,26.69,50.23,2.48,2.59,9.13,12.29,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
58,2015-11-11,Mesoamerican_Fore_01,Caribbean,18.23895,-87.78936,Fore Reef,12.85,26.32,-0.07,0.0,8.099,3.83,0.55,1085.5,27.48,45.53,2.53,2.65,6.77,4.96,Low,Digital_Twin_Simulated,Resultado obtenido mediante prototipo computacional del gemelo digital
59,2015-11-12,Mesoamerican_Fore_01,Caribbean,18.2522,-87.80487,Fore Reef,12.03,26.41,0.04,0.0,8.114,3.86,1.29,1057.1,26.96,34.8,2.53,2.64,9.68,5.3,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
60,2015-11-18,Mesoamerican_Fore_01,Caribbean,18.25163,-87.80901,Fore Reef,12.24,26.45,0.18,0.0,8.146,4.23,1.37,974.0,26.02,47.34,2.54,2.66,3.28,3.08,Low,Digital_Twin_Simulated,Resultado obtenido mediante prototipo computacional del gemelo digital
61,2015-11-19,Mesoamerican_Fore_01,Caribbean,18.25624,-87.80073,Fore Reef,12.76,26.1,-0.15,0.0,8.103,3.84,0.86,1019.3,27.06,43.54,2.49,2.6,5.6,10.81,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
62,2015-11-22,Mesoamerican_Fore_01,Caribbean,18.26489,-87.79112,Fore Reef,12.22,26.25,0.04,0.0,8.074,3.63,0.38,1088.3,28.64,28.15,2.55,2.67,6.95,1.78,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
63,2015-11-29,Mesoamerican_Fore_01,Caribbean,18.26005,-87.78718,Fore Reef,12.32,26.0,-0.11,0.0,8.132,4.03,0.6,997.4,26.71,31.88,2.48,2.58,12.01,12.82,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
64,2015-12-13,Mesoamerican_Fore_01,Caribbean,18.2546,-87.80923,Fore Reef,12.62,25.66,-0.36,0.0,8.089,3.72,0.32,915.0,28.14,36.93,2.56,2.69,1.0,0.0,Low,Digital_Twin_Simulated,Resultado obtenido mediante prototipo computacional del gemelo digital
65,2015-12-18,Mesoamerican_Fore_01,Caribbean,18.24334,-87.81073,Fore Reef,12.85,25.9,-0.1,0.0,8.059,3.51,0.42,1035.1,25.28,34.86,2.47,2.57,7.67,13.77,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
66,2015-12-21,Mesoamerican_Fore_01,Caribbean,18.2624,-87.80932,Fore Reef,12.06,25.52,-0.48,0.0,8.108,3.89,0.18,1010.4,26.64,42.14,2.55,2.67,8.11,2.38,Low,Digital_Twin_Simulated,Resultado obtenido mediante prototipo computacional del gemelo digital
67,2015-12-25,Mesoamerican_Fore_01,Caribbean,18.2457,-87.79228,Fore Reef,12.3,25.69,-0.32,0.0,8.079,3.7,0.33,982.6,28.14,30.45,2.52,2.63,9.3,6.8,Low,Digital_Twin_Simulated,Resultado obtenido mediante prototipo computacional del gemelo digital
68,2016-01-02,Mesoamerican_Fore_01,Caribbean,18.2635,-87.81089,Fore Reef,12.63,25.83,-0.21,0.0,8.135,4.05,0.57,1077.3,26.17,36.78,2.53,2.65,3.91,4.69,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
69,2016-01-04,Mesoamerican_Fore_01,Caribbean,18.26328,-87.81252,Fore Reef,12.78,26.08,0.02,0.0,8.066,3.49,0.52,1044.1,25.94,40.05,2.5,2.61,6.32,9.23,Low,Digital_Twin_Simulated,Resultado obtenido mediante prototipo computacional del gemelo digital
70,2016-01-23,Mesoamerican_Fore_01,Caribbean,18.24169,-87.78881,Fore Reef,12.75,26.75,0.44,0.0,8.086,3.62,0.58,1114.7,28.28,30.14,2.52,2.64,6.59,6.2,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
71,2016-01-29,Mesoamerican_Fore_01,Caribbean,18.25566,-87.78807,Fore Reef,12.08,26.82,0.41,0.0,8.08,3.53,0.3,1245.7,27.83,48.72,2.55,2.67,1.38,1.58,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
72,2016-02-07,Mesoamerican_Fore_01,Caribbean,18.23919,-87.79771,Fore Reef,12.78,26.69,0.08,0.0,8.081,3.64,0.54,1227.9,27.17,48.26,2.51,2.62,4.66,7.8,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
73,2016-02-13,Mesoamerican_Fore_01,Caribbean,18.26284,-87.78965,Fore Reef,12.24,26.99,0.24,0.0,8.077,3.58,1.67,1181.0,29.42,42.28,2.56,2.69,2.07,0.0,Low,Digital_Twin_Simulated,Resultado obtenido mediante prototipo computacional del gemelo digital
74,2016-02-15,Mesoamerican_Fore_01,Caribbean,18.24832,-87.7925,Fore Reef,12.54,27.22,0.41,0.0,8.105,3.83,0.86,1249.6,28.71,27.23,2.54,2.66,5.35,3.0,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
75,2016-02-16,Mesoamerican_Fore_01,Caribbean,18.24453,-87.78594,Fore Reef,12.31,26.82,-0.01,0.0,8.075,3.52,0.36,1336.8,29.95,47.65,2.55,2.67,5.41,2.06,Low,Digital_Twin_Simulated,Resultado obtenido mediante prototipo computacional del gemelo digital
76,2016-02-19,Mesoamerican_Fore_01,Caribbean,18.25474,-87.81476,Fore Reef,12.24,26.98,0.07,0.0,8.087,3.61,0.16,1315.9,26.33,31.33,2.55,2.67,5.73,2.07,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
77,2016-02-20,Mesoamerican_Fore_01,Caribbean,18.25985,-87.79361,Fore Reef,12.32,26.44,-0.5,0.0,8.094,3.8,0.16,1352.9,27.75,38.26,2.53,2.64,8.0,5.12,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
78,2016-03-08,Mesoamerican_Fore_01,Caribbean,18.24073,-87.80121,Fore Reef,12.3,27.4,-0.03,0.0,8.092,3.64,0.42,1557.0,29.28,25.78,2.54,2.65,12.52,3.89,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
79,2016-03-14,Mesoamerican_Fore_01,Caribbean,18.23657,-87.81021,Fore Reef,12.08,27.58,-0.03,0.0,8.078,3.41,0.58,1478.3,25.29,34.59,2.49,2.59,9.99,11.26,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
80,2016-03-15,Mesoamerican_Fore_01,Caribbean,18.25845,-87.80559,Fore Reef,12.7,27.99,0.35,0.0,8.054,3.32,0.24,1505.9,27.77,28.56,2.52,2.64,7.71,5.91,Low,Digital_Twin_Simulated,Resultado obtenido mediante prototipo computacional del gemelo digital
81,2016-03-19,Mesoamerican_Fore_01,Caribbean,18.24731,-87.8101,Fore Reef,12.32,27.97,0.2,0.0,8.073,3.5,0.53,1534.8,25.56,52.11,2.52,2.64,5.69,5.97,Low,Digital_Twin_Simulated,Resultado obtenido mediante prototipo computacional del gemelo digital
82,2016-03-26,Mesoamerican_Fore_01,Caribbean,18.25158,-87.80851,Fore Reef,12.3,28.03,0.04,0.0,8.046,3.35,0.25,1572.4,26.64,36.02,2.5,2.61,9.66,9.61,Low,Digital_Twin_Simulated,Resultado obtenido mediante prototipo computacional del gemelo digital
83,2016-04-02,Mesoamerican_Fore_01,Caribbean,18.2424,-87.78572,Fore Reef,12.34,28.67,0.47,0.0,8.101,3.67,0.23,1594.9,25.2,34.73,2.53,2.64,8.76,5.28,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
84,2016-04-06,Mesoamerican_Fore_01,Caribbean,18.24007,-87.80445,Fore Reef,12.51,28.58,0.26,0.0,8.086,3.57,0.36,1718.8,26.28,50.79,2.46,2.56,9.8,15.97,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
85,2016-04-08,Mesoamerican_Fore_01,Caribbean,18.23799,-87.7969,Fore Reef,12.25,27.67,-0.71,0.0,8.046,3.22,1.41,1721.6,25.13,51.64,2.52,2.63,8.59,6.85,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
86,2016-04-10,Mesoamerican_Fore_01,Caribbean,18.26391,-87.81095,Fore Reef,12.89,28.33,-0.1,0.0,8.043,3.28,1.13,1722.5,25.59,52.07,2.45,2.54,9.92,17.73,Low,Digital_Twin_Simulated,Resultado obtenido mediante prototipo computacional del gemelo digital
87,2016-04-23,Mesoamerican_Fore_01,Caribbean,18.2384,-87.78509,Fore Reef,12.59,28.75,-0.04,0.0,8.08,3.5,1.12,1696.5,27.14,35.32,2.54,2.66,10.69,3.3,Low,Digital_Twin_Simulated,Resultado obtenido mediante prototipo computacional del gemelo digital
88,2016-05-01,Mesoamerican_Fore_01,Caribbean,18.24694,-87.79082,Fore Reef,12.17,28.95,-0.04,0.0,8.088,3.57,0.49,1883.6,29.01,30.85,2.47,2.57,12.94,13.78,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
89,2016-05-10,Mesoamerican_Fore_01,Caribbean,18.25244,-87.80739,Fore Reef,12.08,29.18,-0.0,0.0,8.076,3.34,0.67,1858.3,27.46,37.18,2.48,2.58,12.54,12.59,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
90,2016-05-16,Mesoamerican_Fore_01,Caribbean,18.24365,-87.80604,Fore Reef,12.01,29.2,-0.1,0.0,8.045,3.23,0.33,1868.0,28.81,35.07,2.56,2.69,9.83,0.0,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
91,2016-05-26,Mesoamerican_Fore_01,Caribbean,18.23743,-87.79011,Fore Reef,12.4,29.39,-0.05,0.19,8.036,3.19,0.56,1919.9,26.45,50.1,2.51,2.62,15.91,8.07,Medium,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
92,2016-06-11,Mesoamerican_Fore_01,Caribbean,18.255,-87.81141,Fore Reef,12.26,29.01,-0.57,0.0,8.024,3.1,0.12,1872.5,25.12,36.41,2.47,2.58,11.73,13.38,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
93,2016-06-18,Mesoamerican_Fore_01,Caribbean,18.25071,-87.80653,Fore Reef,12.28,29.98,0.38,1.33,8.054,3.26,1.1,1864.0,25.61,40.61,2.48,2.59,15.4,11.86,Medium,Digital_Twin_Simulated,Resultado obtenido mediante prototipo computacional del gemelo digital
94,2016-06-22,Mesoamerican_Fore_01,Caribbean,18.24698,-87.79704,Fore Reef,12.15,29.45,-0.15,0.41,8.078,3.48,0.5,1865.8,27.26,45.95,2.52,2.64,8.85,6.24,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
95,2016-06-28,Mesoamerican_Fore_01,Caribbean,18.26,-87.80591,Fore Reef,12.63,29.8,0.22,1.17,8.032,3.14,1.02,1837.8,26.97,28.65,2.49,2.6,10.77,11.19,Low,Real_Observation,Resultado obtenido mediante prototipo computacional del gemelo digital
