Record_ID,Date,Station_Name,Depth_m,pH_total,Aragonite_Saturation_Omega,Shannon_Diversity_H,Bleaching_Severity_Pct,Scientific_Attribution
74,2016-02-15,Mesoamerican_Fore_01,12.54,8.105,3.83,2.66,5.35,Resultado obtenido mediante prototipo computacional del gemelo digital
75,2016-02-16,Mesoamerican_Fore_01,12.31,8.075,3.52,2.67,5.41,Resultado obtenido mediante prototipo computacional del gemelo digital
76,2016-02-19,Mesoamerican_Fore_01,12.24,8.087,3.61,2.67,5.73,Resultado obtenido mediante prototipo computacional del gemelo digital
77,2016-02-20,Mesoamerican_Fore_01,12.32,8.094,3.8,2.64,8.0,Resultado obtenido mediante prototipo computacional del gemelo digital
78,2016-03-08,Mesoamerican_Fore_01,12.3,8.092,3.64,2.65,12.52,Resultado obtenido mediante prototipo computacional del gemelo digital
79,2016-03-14,Mesoamerican_Fore_01,12.08,8.078,3.41,2.59,9.99,Resultado obtenido mediante prototipo computacional del gemelo digital
80,2016-03-15,Mesoamerican_Fore_01,12.7,8.054,3.32,2.64,7.71,Resultado obtenido mediante prototipo computacional del gemelo digital
81,2016-03-19,Mesoamerican_Fore_01,12.32,8.073,3.5,2.64,5.69,Resultado obtenido mediante prototipo computacional del gemelo digital
82,2016-03-26,Mesoamerican_Fore_01,12.3,8.046,3.35,2.61,9.66,Resultado obtenido mediante prototipo computacional del gemelo digital
83,2016-04-02,Mesoamerican_Fore_01,12.34,8.101,3.67,2.64,8.76,Resultado obtenido mediante prototipo computacional del gemelo digital
84,2016-04-06,Mesoamerican_Fore_01,12.51,8.086,3.57,2.56,9.8,Resultado obtenido mediante prototipo computacional del gemelo digital
85,2016-04-08,Mesoamerican_Fore_01,12.25,8.046,3.22,2.63,8.59,Resultado obtenido mediante prototipo computacional del gemelo digital
86,2016-04-10,Mesoamerican_Fore_01,12.89,8.043,3.28,2.54,9.92,Resultado obtenido mediante prototipo computacional del gemelo digital
87,2016-04-23,Mesoamerican_Fore_01,12.59,8.08,3.5,2.66,10.69,Resultado obtenido mediante prototipo computacional del gemelo digital
88,2016-05-01,Mesoamerican_Fore_01,12.17,8.088,3.57,2.57,12.94,Resultado obtenido mediante prototipo computacional del gemelo digital
89,2016-05-10,Mesoamerican_Fore_01,12.08,8.076,3.34,2.58,12.54,Resultado obtenido mediante prototipo computacional del gemelo digital
90,2016-05-16,Mesoamerican_Fore_01,12.01,8.045,3.23,2.69,9.83,Resultado obtenido mediante prototipo computacional del gemelo digital
91,2016-05-26,Mesoamerican_Fore_01,12.4,8.036,3.19,2.62,15.91,Resultado obtenido mediante prototipo computacional del gemelo digital
92,2016-06-11,Mesoamerican_Fore_01,12.26,8.024,3.1,2.58,11.73,Resultado obtenido mediante prototipo computacional del gemelo digital
93,2016-06-18,Mesoamerican_Fore_01,12.28,8.054,3.26,2.59,15.4,Resultado obtenido mediante prototipo computacional del gemelo digital
94,2016-06-22,Mesoamerican_Fore_01,12.15,8.078,3.48,2.64,8.85,Resultado obtenido mediante prototipo computacional del gemelo digital
95,2016-06-28,Mesoamerican_Fore_01,12.63,8.032,3.14,2.6,10.77,Resultado obtenido mediante prototipo computacional del gemelo digital
96,2016-07-05,Mesoamerican_Fore_01,12.5,8.032,3.2,2.67,12.05,Resultado obtenido mediante prototipo computacional del gemelo digital
97,2016-07-08,Mesoamerican_Fore_01,12.53,8.056,3.36,2.69,5.51,Resultado obtenido mediante prototipo computacional del gemelo digital
98,2016-07-15,Mesoamerican_Fore_01,12.68,8.052,3.32,2.57,14.05,Resultado obtenido mediante prototipo computacional del gemelo digital
99,2016-07-21,Mesoamerican_Fore_01,12.31,8.054,3.2,2.13,98.24,Resultado obtenido mediante prototipo computacional del gemelo digital
100,2016-07-27,Mesoamerican_Fore_01,12.35,8.02,2.93,2.07,100.0,Resultado obtenido mediante prototipo computacional del gemelo digital
101,2016-08-25,Mesoamerican_Fore_01,12.47,8.035,3.02,2.13,95.09,Resultado obtenido mediante prototipo computacional del gemelo digital
102,2016-08-28,Mesoamerican_Fore_01,12.37,8.059,3.26,2.27,66.0,Resultado obtenido mediante prototipo computacional del gemelo digital
103,2016-09-13,Mesoamerican_Fore_01,12.99,8.055,3.22,2.18,76.96,Resultado obtenido mediante prototipo computacional del gemelo digital
104,2016-10-04,Mesoamerican_Fore_01,12.68,8.079,3.52,2.68,9.68,Resultado obtenido mediante prototipo computacional del gemelo digital
105,2016-10-06,Mesoamerican_Fore_01,12.97,8.092,3.65,2.65,9.97,Resultado obtenido mediante prototipo computacional del gemelo digital
106,2016-10-12,Mesoamerican_Fore_01,12.69,8.062,3.32,2.67,5.9,Resultado obtenido mediante prototipo computacional del gemelo digital
107,2016-10-19,Mesoamerican_Fore_01,12.89,8.082,3.68,2.64,3.38,Resultado obtenido mediante prototipo computacional del gemelo digital
108,2016-11-01,Mesoamerican_Fore_01,12.3,8.127,3.92,2.6,9.8,Resultado obtenido mediante prototipo computacional del gemelo digital
109,2016-11-07,Mesoamerican_Fore_01,12.04,8.104,3.85,2.66,1.44,Resultado obtenido mediante prototipo computacional del gemelo digital
110,2016-11-13,Mesoamerican_Fore_01,12.42,8.121,3.9,2.69,4.72,Resultado obtenido mediante prototipo computacional del gemelo digital
111,2016-11-22,Mesoamerican_Fore_01,12.12,8.091,3.71,2.66,3.03,Resultado obtenido mediante prototipo computacional del gemelo digital
112,2016-11-24,Mesoamerican_Fore_01,12.59,8.118,3.85,2.69,2.42,Resultado obtenido mediante prototipo computacional del gemelo digital
113,2016-12-06,Mesoamerican_Fore_01,12.27,8.092,3.76,2.66,4.43,Resultado obtenido mediante prototipo computacional del gemelo digital
114,2016-12-13,Mesoamerican_Fore_01,12.9,8.139,4.14,2.65,2.4,Resultado obtenido mediante prototipo computacional del gemelo digital
115,2016-12-19,Mesoamerican_Fore_01,12.89,8.094,3.69,2.6,12.36,Resultado obtenido mediante prototipo computacional del gemelo digital
116,2017-01-14,Mesoamerican_Fore_01,12.52,8.084,3.61,2.62,3.18,Resultado obtenido mediante prototipo computacional del gemelo digital
117,2017-01-16,Mesoamerican_Fore_01,12.08,8.105,3.84,2.67,7.12,Resultado obtenido mediante prototipo computacional del gemelo digital
118,2017-01-22,Mesoamerican_Fore_01,12.01,8.151,4.13,2.66,4.41,Resultado obtenido mediante prototipo computacional del gemelo digital
119,2017-01-25,Mesoamerican_Fore_01,12.22,8.095,3.7,2.66,3.39,Resultado obtenido mediante prototipo computacional del gemelo digital
120,2017-02-15,Mesoamerican_Fore_01,12.47,8.092,3.64,2.66,0.36,Resultado obtenido mediante prototipo computacional del gemelo digital
121,2017-02-20,Mesoamerican_Fore_01,12.98,8.07,3.5,2.66,6.63,Resultado obtenido mediante prototipo computacional del gemelo digital
122,2017-02-26,Mesoamerican_Fore_01,12.41,8.085,3.53,2.66,4.74,Resultado obtenido mediante prototipo computacional del gemelo digital
123,2017-03-01,Mesoamerican_Fore_01,12.51,8.073,3.58,2.64,10.07,Resultado obtenido mediante prototipo computacional del gemelo digital
124,2017-03-09,Mesoamerican_Fore_01,12.75,8.096,3.74,2.66,9.33,Resultado obtenido mediante prototipo computacional del gemelo digital
125,2017-03-16,Mesoamerican_Fore_01,12.03,8.074,3.51,2.66,7.63,Resultado obtenido mediante prototipo computacional del gemelo digital
126,2017-03-20,Mesoamerican_Fore_01,12.02,8.085,3.47,2.63,11.09,Resultado obtenido mediante prototipo computacional del gemelo digital
127,2017-03-21,Mesoamerican_Fore_01,12.31,8.053,3.4,2.69,5.11,Resultado obtenido mediante prototipo computacional del gemelo digital
128,2017-03-22,Mesoamerican_Fore_01,12.8,8.05,3.37,2.67,7.42,Resultado obtenido mediante prototipo computacional del gemelo digital
129,2017-03-28,Mesoamerican_Fore_01,12.4,8.074,3.62,2.64,4.66,Resultado obtenido mediante prototipo computacional del gemelo digital
130,2017-04-18,Mesoamerican_Fore_01,12.77,8.053,3.3,2.64,10.44,Resultado obtenido mediante prototipo computacional del gemelo digital
131,2017-04-19,Mesoamerican_Fore_01,12.69,8.049,3.4,2.62,9.99,Resultado obtenido mediante prototipo computacional del gemelo digital
132,2017-04-22,Mesoamerican_Fore_01,12.38,8.051,3.21,2.6,10.2,Resultado obtenido mediante prototipo computacional del gemelo digital
133,2017-04-27,Mesoamerican_Fore_01,12.23,8.035,3.18,2.59,11.63,Resultado obtenido mediante prototipo computacional del gemelo digital
134,2017-05-10,Mesoamerican_Fore_01,12.73,8.031,3.13,2.52,17.31,Resultado obtenido mediante prototipo computacional del gemelo digital
135,2017-05-14,Mesoamerican_Fore_01,12.69,8.029,3.16,2.63,8.12,Resultado obtenido mediante prototipo computacional del gemelo digital
136,2017-05-21,Mesoamerican_Fore_01,12.54,8.084,3.54,2.63,13.05,Resultado obtenido mediante prototipo computacional del gemelo digital
137,2017-05-24,Mesoamerican_Fore_01,12.38,8.047,3.32,2.56,7.48,Resultado obtenido mediante prototipo computacional del gemelo digital
138,2017-05-29,Mesoamerican_Fore_01,12.02,8.006,3.02,2.6,10.85,Resultado obtenido mediante prototipo computacional del gemelo digital
139,2017-06-12,Mesoamerican_Fore_01,12.5,8.029,3.04,2.59,10.8,Resultado obtenido mediante prototipo computacional del gemelo digital
140,2017-06-22,Mesoamerican_Fore_01,12.79,8.021,3.12,2.62,11.71,Resultado obtenido mediante prototipo computacional del gemelo digital
141,2017-07-01,Mesoamerican_Fore_01,12.53,8.047,3.21,2.61,10.7,Resultado obtenido mediante prototipo computacional del gemelo digital
142,2017-07-14,Mesoamerican_Fore_01,12.18,8.054,3.27,2.64,12.02,Resultado obtenido mediante prototipo computacional del gemelo digital
143,2017-07-15,Mesoamerican_Fore_01,12.75,8.045,3.23,2.64,10.8,Resultado obtenido mediante prototipo computacional del gemelo digital
144,2017-07-16,Mesoamerican_Fore_01,12.18,8.048,3.29,2.61,7.56,Resultado obtenido mediante prototipo computacional del gemelo digital
145,2017-07-18,Mesoamerican_Fore_01,12.38,8.027,2.99,2.62,12.9,Resultado obtenido mediante prototipo computacional del gemelo digital
146,2017-07-21,Mesoamerican_Fore_01,12.4,8.07,3.4,2.6,12.27,Resultado obtenido mediante prototipo computacional del gemelo digital
147,2017-08-06,Mesoamerican_Fore_01,12.17,8.055,3.38,2.06,95.13,Resultado obtenido mediante prototipo computacional del gemelo digital
148,2017-08-07,Mesoamerican_Fore_01,12.85,8.042,3.15,2.34,53.91,Resultado obtenido mediante prototipo computacional del gemelo digital
149,2017-08-10,Mesoamerican_Fore_01,12.63,8.057,3.29,2.36,46.86,Resultado obtenido mediante prototipo computacional del gemelo digital
150,2017-08-22,Mesoamerican_Fore_01,12.01,8.068,3.33,2.63,6.89,Resultado obtenido mediante prototipo computacional del gemelo digital
151,2017-09-17,Mesoamerican_Fore_01,12.63,8.058,3.3,2.69,5.92,Resultado obtenido mediante prototipo computacional del gemelo digital
152,2017-09-24,Mesoamerican_Fore_01,12.65,8.038,3.1,2.69,4.55,Resultado obtenido mediante prototipo computacional del gemelo digital
153,2017-10-03,Mesoamerican_Fore_01,12.67,8.048,3.31,2.69,4.31,Resultado obtenido mediante prototipo computacional del gemelo digital
154,2017-10-08,Mesoamerican_Fore_01,12.86,8.107,3.76,2.65,6.07,Resultado obtenido mediante prototipo computacional del gemelo digital
155,2017-10-22,Mesoamerican_Fore_01,12.03,8.099,3.63,2.69,5.33,Resultado obtenido mediante prototipo computacional del gemelo digital
156,2017-10-24,Mesoamerican_Fore_01,12.2,8.077,3.59,2.62,10.44,Resultado obtenido mediante prototipo computacional del gemelo digital
157,2017-10-26,Mesoamerican_Fore_01,12.77,8.079,3.54,2.69,0.36,Resultado obtenido mediante prototipo computacional del gemelo digital
158,2017-10-31,Mesoamerican_Fore_01,12.91,8.085,3.59,2.66,2.5,Resultado obtenido mediante prototipo computacional del gemelo digital
159,2017-11-03,Mesoamerican_Fore_01,12.39,8.098,3.71,2.69,4.67,Resultado obtenido mediante prototipo computacional del gemelo digital
160,2017-11-08,Mesoamerican_Fore_01,12.94,8.075,3.65,2.69,2.51,Resultado obtenido mediante prototipo computacional del gemelo digital
161,2017-11-13,Mesoamerican_Fore_01,12.85,8.089,3.65,2.65,6.98,Resultado obtenido mediante prototipo computacional del gemelo digital
162,2017-11-19,Mesoamerican_Fore_01,12.84,8.093,3.72,2.65,2.16,Resultado obtenido mediante prototipo computacional del gemelo digital
163,2017-11-27,Mesoamerican_Fore_01,12.6,8.112,3.93,2.63,6.07,Resultado obtenido mediante prototipo computacional del gemelo digital
164,2017-12-14,Mesoamerican_Fore_01,12.75,8.136,4.08,2.67,4.15,Resultado obtenido mediante prototipo computacional del gemelo digital
165,2017-12-16,Mesoamerican_Fore_01,12.28,8.099,3.8,2.61,9.52,Resultado obtenido mediante prototipo computacional del gemelo digital
166,2017-12-27,Mesoamerican_Fore_01,12.72,8.112,3.9,2.64,5.0,Resultado obtenido mediante prototipo computacional del gemelo digital
167,2017-12-30,Mesoamerican_Fore_01,12.18,8.091,3.65,2.64,10.43,Resultado obtenido mediante prototipo computacional del gemelo digital
168,2018-01-15,Mesoamerican_Fore_01,12.0,8.064,3.48,2.59,9.93,Resultado obtenido mediante prototipo computacional del gemelo digital
169,2018-01-28,Mesoamerican_Fore_01,12.45,8.055,3.45,2.69,6.53,Resultado obtenido mediante prototipo computacional del gemelo digital
170,2018-02-02,Mesoamerican_Fore_01,12.81,8.103,3.78,2.69,4.97,Resultado obtenido mediante prototipo computacional del gemelo digital
171,2018-02-06,Mesoamerican_Fore_01,12.91,8.074,3.56,2.68,0.51,Resultado obtenido mediante prototipo computacional del gemelo digital
172,2018-02-08,Mesoamerican_Fore_01,12.93,8.086,3.6,2.64,1.03,Resultado obtenido mediante prototipo computacional del gemelo digital
173,2018-02-09,Mesoamerican_Fore_01,12.75,8.092,3.77,2.65,2.11,Resultado obtenido mediante prototipo computacional del gemelo digital
174,2018-02-20,Mesoamerican_Fore_01,12.66,8.095,3.73,2.64,10.43,Resultado obtenido mediante prototipo computacional del gemelo digital
175,2018-02-25,Mesoamerican_Fore_01,12.14,8.094,3.66,2.64,7.64,Resultado obtenido mediante prototipo computacional del gemelo digital
176,2018-03-10,Mesoamerican_Fore_01,12.68,8.088,3.56,2.64,7.17,Resultado obtenido mediante prototipo computacional del gemelo digital
177,2018-03-24,Mesoamerican_Fore_01,12.99,8.087,3.56,2.68,6.74,Resultado obtenido mediante prototipo computacional del gemelo digital
178,2018-04-02,Mesoamerican_Fore_01,12.51,8.078,3.54,2.59,10.17,Resultado obtenido mediante prototipo computacional del gemelo digital
179,2018-04-07,Mesoamerican_Fore_01,12.03,8.046,3.36,2.62,11.03,Resultado obtenido mediante prototipo computacional del gemelo digital
180,2018-04-15,Mesoamerican_Fore_01,12.91,8.075,3.44,2.63,6.08,Resultado obtenido mediante prototipo computacional del gemelo digital
181,2018-04-21,Mesoamerican_Fore_01,12.07,8.087,3.54,2.65,4.03,Resultado obtenido mediante prototipo computacional del gemelo digital
182,2018-04-25,Mesoamerican_Fore_01,12.12,8.082,3.63,2.66,0.0,Resultado obtenido mediante prototipo computacional del gemelo digital
183,2018-04-26,Mesoamerican_Fore_01,12.22,8.051,3.34,2.58,6.06,Resultado obtenido mediante prototipo computacional del gemelo digital
184,2018-05-11,Mesoamerican_Fore_01,12.88,8.061,3.27,2.6,10.18,Resultado obtenido mediante prototipo computacional del gemelo digital
185,2018-05-16,Mesoamerican_Fore_01,12.41,8.036,3.22,2.6,9.16,Resultado obtenido mediante prototipo computacional del gemelo digital
186,2018-05-20,Mesoamerican_Fore_01,12.51,8.072,3.46,2.66,3.98,Resultado obtenido mediante prototipo computacional del gemelo digital
187,2018-05-22,Mesoamerican_Fore_01,12.13,8.06,3.27,2.69,9.34,Resultado obtenido mediante prototipo computacional del gemelo digital
188,2018-05-27,Mesoamerican_Fore_01,12.28,8.074,3.44,2.59,11.13,Resultado obtenido mediante prototipo computacional del gemelo digital
189,2018-06-15,Mesoamerican_Fore_01,12.44,8.031,3.11,2.63,12.55,Resultado obtenido mediante prototipo computacional del gemelo digital
190,2018-07-05,Mesoamerican_Fore_01,12.03,8.06,3.27,2.66,6.13,Resultado obtenido mediante prototipo computacional del gemelo digital
191,2018-07-16,Mesoamerican_Fore_01,12.46,8.061,3.35,2.66,8.01,Resultado obtenido mediante prototipo computacional del gemelo digital
192,2018-07-22,Mesoamerican_Fore_01,12.93,8.053,3.3,2.6,9.25,Resultado obtenido mediante prototipo computacional del gemelo digital
193,2018-08-06,Mesoamerican_Fore_01,12.02,8.054,3.31,2.59,6.94,Resultado obtenido mediante prototipo computacional del gemelo digital
194,2018-08-23,Mesoamerican_Fore_01,12.98,8.066,3.33,2.66,5.33,Resultado obtenido mediante prototipo computacional del gemelo digital
195,2018-08-29,Mesoamerican_Fore_01,12.54,8.068,3.37,2.67,8.06,Resultado obtenido mediante prototipo computacional del gemelo digital
196,2018-08-31,Mesoamerican_Fore_01,12.6,8.067,3.35,2.63,8.44,Resultado obtenido mediante prototipo computacional del gemelo digital
197,2018-09-02,Mesoamerican_Fore_01,12.64,8.073,3.46,2.69,5.25,Resultado obtenido mediante prototipo computacional del gemelo digital
198,2018-09-07,Mesoamerican_Fore_01,12.96,8.032,3.22,2.61,10.05,Resultado obtenido mediante prototipo computacional del gemelo digital
199,2018-09-13,Mesoamerican_Fore_01,12.8,8.067,3.44,2.63,8.73,Resultado obtenido mediante prototipo computacional del gemelo digital
200,2018-09-14,Mesoamerican_Fore_01,12.53,8.058,3.37,2.62,11.09,Resultado obtenido mediante prototipo computacional del gemelo digital
