Year,Scenario_ID,Coral_Cover_Median_Pct,Coral_Cover_CI_025,Coral_Cover_CI_975,Macroalgae_Cover_Median_Pct,Net_Calcification_Median,Scientific_Attribution
2042,Scenario_1_Severe_Thermal_Stress_SSP585,17.46,13.81,21.8,44.29,1.18,Resultado obtenido mediante prototipo computacional del gemelo digital
2043,Scenario_1_Severe_Thermal_Stress_SSP585,16.07,12.49,20.41,45.81,0.95,Resultado obtenido mediante prototipo computacional del gemelo digital
2044,Scenario_1_Severe_Thermal_Stress_SSP585,14.71,11.16,19.03,47.35,0.74,Resultado obtenido mediante prototipo computacional del gemelo digital
2045,Scenario_1_Severe_Thermal_Stress_SSP585,13.37,9.94,17.7,48.91,0.54,Resultado obtenido mediante prototipo computacional del gemelo digital
2046,Scenario_1_Severe_Thermal_Stress_SSP585,12.1,8.75,16.38,50.48,0.35,Resultado obtenido mediante prototipo computacional del gemelo digital
2047,Scenario_1_Severe_Thermal_Stress_SSP585,10.87,7.65,15.07,52.05,0.17,Resultado obtenido mediante prototipo computacional del gemelo digital
2048,Scenario_1_Severe_Thermal_Stress_SSP585,9.7,6.66,13.83,53.59,0.0,Resultado obtenido mediante prototipo computacional del gemelo digital
2049,Scenario_1_Severe_Thermal_Stress_SSP585,8.61,5.74,12.61,55.12,-0.16,Resultado obtenido mediante prototipo computacional del gemelo digital
2050,Scenario_1_Severe_Thermal_Stress_SSP585,7.58,4.9,11.42,56.58,-0.32,Resultado obtenido mediante prototipo computacional del gemelo digital
2025,Scenario_2_Moderate_Mitigation_SSP245,32.68,29.77,35.61,22.36,7.57,Resultado obtenido mediante prototipo computacional del gemelo digital
2026,Scenario_2_Moderate_Mitigation_SSP245,33.3,30.35,36.28,22.65,7.43,Resultado obtenido mediante prototipo computacional del gemelo digital
2027,Scenario_2_Moderate_Mitigation_SSP245,33.84,30.87,36.83,22.87,7.29,Resultado obtenido mediante prototipo computacional del gemelo digital
2028,Scenario_2_Moderate_Mitigation_SSP245,34.31,31.29,37.45,23.02,7.15,Resultado obtenido mediante prototipo computacional del gemelo digital
2029,Scenario_2_Moderate_Mitigation_SSP245,34.73,31.57,37.95,23.14,7.01,Resultado obtenido mediante prototipo computacional del gemelo digital
2030,Scenario_2_Moderate_Mitigation_SSP245,35.06,31.82,38.43,23.2,6.88,Resultado obtenido mediante prototipo computacional del gemelo digital
2031,Scenario_2_Moderate_Mitigation_SSP245,35.33,31.93,38.86,23.24,6.75,Resultado obtenido mediante prototipo computacional del gemelo digital
2032,Scenario_2_Moderate_Mitigation_SSP245,35.54,31.96,39.28,23.27,6.62,Resultado obtenido mediante prototipo computacional del gemelo digital
2033,Scenario_2_Moderate_Mitigation_SSP245,35.71,31.92,39.65,23.25,6.49,Resultado obtenido mediante prototipo computacional del gemelo digital
2034,Scenario_2_Moderate_Mitigation_SSP245,35.79,31.8,39.93,23.23,6.36,Resultado obtenido mediante prototipo computacional del gemelo digital
2035,Scenario_2_Moderate_Mitigation_SSP245,35.8,31.65,40.16,23.21,6.23,Resultado obtenido mediante prototipo computacional del gemelo digital
2036,Scenario_2_Moderate_Mitigation_SSP245,35.76,31.41,40.38,23.19,6.11,Resultado obtenido mediante prototipo computacional del gemelo digital
2037,Scenario_2_Moderate_Mitigation_SSP245,35.67,31.11,40.57,23.19,5.98,Resultado obtenido mediante prototipo computacional del gemelo digital
2038,Scenario_2_Moderate_Mitigation_SSP245,35.55,30.73,40.76,23.19,5.86,Resultado obtenido mediante prototipo computacional del gemelo digital
2039,Scenario_2_Moderate_Mitigation_SSP245,35.37,30.32,40.82,23.2,5.74,Resultado obtenido mediante prototipo computacional del gemelo digital
2040,Scenario_2_Moderate_Mitigation_SSP245,35.14,29.85,40.82,23.22,5.62,Resultado obtenido mediante prototipo computacional del gemelo digital
2041,Scenario_2_Moderate_Mitigation_SSP245,34.85,29.36,40.8,23.26,5.51,Resultado obtenido mediante prototipo computacional del gemelo digital
2042,Scenario_2_Moderate_Mitigation_SSP245,34.54,28.79,40.77,23.32,5.39,Resultado obtenido mediante prototipo computacional del gemelo digital
2043,Scenario_2_Moderate_Mitigation_SSP245,34.18,28.23,40.69,23.38,5.28,Resultado obtenido mediante prototipo computacional del gemelo digital
2044,Scenario_2_Moderate_Mitigation_SSP245,33.78,27.61,40.51,23.48,5.16,Resultado obtenido mediante prototipo computacional del gemelo digital
2045,Scenario_2_Moderate_Mitigation_SSP245,33.33,26.98,40.33,23.6,5.05,Resultado obtenido mediante prototipo computacional del gemelo digital
2046,Scenario_2_Moderate_Mitigation_SSP245,32.84,26.28,40.1,23.77,4.94,Resultado obtenido mediante prototipo computacional del gemelo digital
2047,Scenario_2_Moderate_Mitigation_SSP245,32.31,25.57,39.87,23.96,4.83,Resultado obtenido mediante prototipo computacional del gemelo digital
2048,Scenario_2_Moderate_Mitigation_SSP245,31.76,24.84,39.59,24.15,4.73,Resultado obtenido mediante prototipo computacional del gemelo digital
2049,Scenario_2_Moderate_Mitigation_SSP245,31.17,24.07,39.24,24.39,4.62,Resultado obtenido mediante prototipo computacional del gemelo digital
2050,Scenario_2_Moderate_Mitigation_SSP245,30.55,23.31,38.86,24.66,4.52,Resultado obtenido mediante prototipo computacional del gemelo digital
2025,Scenario_3_Active_Coral_Restoration,36.41,33.3,39.52,22.03,8.67,Resultado obtenido mediante prototipo computacional del gemelo digital
2026,Scenario_3_Active_Coral_Restoration,40.75,37.39,44.06,21.69,8.42,Resultado obtenido mediante prototipo computacional del gemelo digital
2027,Scenario_3_Active_Coral_Restoration,44.97,41.18,48.6,21.09,8.17,Resultado obtenido mediante prototipo computacional del gemelo digital
2028,Scenario_3_Active_Coral_Restoration,48.98,44.74,52.97,20.22,7.93,Resultado obtenido mediante prototipo computacional del gemelo digital
2029,Scenario_3_Active_Coral_Restoration,52.8,48.08,57.16,19.18,7.69,Resultado obtenido mediante prototipo computacional del gemelo digital
2030,Scenario_3_Active_Coral_Restoration,56.35,51.17,61.07,18.01,7.45,Resultado obtenido mediante prototipo computacional del gemelo digital
2031,Scenario_3_Active_Coral_Restoration,59.64,54.05,64.75,16.75,7.22,Resultado obtenido mediante prototipo computacional del gemelo digital
2032,Scenario_3_Active_Coral_Restoration,62.7,56.67,68.11,15.46,7.0,Resultado obtenido mediante prototipo computacional del gemelo digital
2033,Scenario_3_Active_Coral_Restoration,65.47,59.1,71.15,14.18,6.77,Resultado obtenido mediante prototipo computacional del gemelo digital
2034,Scenario_3_Active_Coral_Restoration,67.96,61.25,73.88,12.93,6.56,Resultado obtenido mediante prototipo computacional del gemelo digital
2035,Scenario_3_Active_Coral_Restoration,70.18,63.2,76.32,11.73,6.35,Resultado obtenido mediante prototipo computacional del gemelo digital
2036,Scenario_3_Active_Coral_Restoration,72.13,64.88,78.48,10.62,6.14,Resultado obtenido mediante prototipo computacional del gemelo digital
2037,Scenario_3_Active_Coral_Restoration,73.82,66.31,80.3,9.58,5.93,Resultado obtenido mediante prototipo computacional del gemelo digital
2038,Scenario_3_Active_Coral_Restoration,75.26,67.53,81.85,8.61,5.74,Resultado obtenido mediante prototipo computacional del gemelo digital
2039,Scenario_3_Active_Coral_Restoration,76.43,68.54,83.22,7.73,5.54,Resultado obtenido mediante prototipo computacional del gemelo digital
2040,Scenario_3_Active_Coral_Restoration,77.39,69.36,84.25,6.92,5.35,Resultado obtenido mediante prototipo computacional del gemelo digital
2041,Scenario_3_Active_Coral_Restoration,78.14,69.9,85.0,6.2,5.16,Resultado obtenido mediante prototipo computacional del gemelo digital
2042,Scenario_3_Active_Coral_Restoration,78.69,70.28,85.0,5.55,4.98,Resultado obtenido mediante prototipo computacional del gemelo digital
2043,Scenario_3_Active_Coral_Restoration,79.03,70.5,85.0,4.97,4.8,Resultado obtenido mediante prototipo computacional del gemelo digital
2044,Scenario_3_Active_Coral_Restoration,79.2,70.56,85.0,4.46,4.62,Resultado obtenido mediante prototipo computacional del gemelo digital
2045,Scenario_3_Active_Coral_Restoration,79.24,70.49,85.0,4.0,4.45,Resultado obtenido mediante prototipo computacional del gemelo digital
2046,Scenario_3_Active_Coral_Restoration,79.09,70.29,85.0,3.6,4.28,Resultado obtenido mediante prototipo computacional del gemelo digital
2047,Scenario_3_Active_Coral_Restoration,78.81,69.86,85.0,3.24,4.12,Resultado obtenido mediante prototipo computacional del gemelo digital
2048,Scenario_3_Active_Coral_Restoration,78.43,69.26,85.0,2.93,3.95,Resultado obtenido mediante prototipo computacional del gemelo digital
2049,Scenario_3_Active_Coral_Restoration,77.92,68.59,84.95,2.66,3.8,Resultado obtenido mediante prototipo computacional del gemelo digital
2050,Scenario_3_Active_Coral_Restoration,77.3,67.79,84.77,2.42,3.64,Resultado obtenido mediante prototipo computacional del gemelo digital
2025,Scenario_4_MPA_Integrated_Protection,35.45,32.42,38.45,19.63,8.38,Resultado obtenido mediante prototipo computacional del gemelo digital
2026,Scenario_4_MPA_Integrated_Protection,38.98,35.73,42.21,17.4,8.17,Resultado obtenido mediante prototipo computacional del gemelo digital
2027,Scenario_4_MPA_Integrated_Protection,42.5,38.99,46.0,15.36,7.96,Resultado obtenido mediante prototipo computacional del gemelo digital
2028,Scenario_4_MPA_Integrated_Protection,45.98,42.07,49.8,13.47,7.75,Resultado obtenido mediante prototipo computacional del gemelo digital
2029,Scenario_4_MPA_Integrated_Protection,49.4,45.02,53.57,11.75,7.54,Resultado obtenido mediante prototipo computacional del gemelo digital
2030,Scenario_4_MPA_Integrated_Protection,52.7,47.94,57.3,10.17,7.34,Resultado obtenido mediante prototipo computacional del gemelo digital
2031,Scenario_4_MPA_Integrated_Protection,55.87,50.63,60.84,8.74,7.14,Resultado obtenido mediante prototipo computacional del gemelo digital
2032,Scenario_4_MPA_Integrated_Protection,58.86,53.21,64.15,7.47,6.95,Resultado obtenido mediante prototipo computacional del gemelo digital
2033,Scenario_4_MPA_Integrated_Protection,61.62,55.63,67.21,6.33,6.76,Resultado obtenido mediante prototipo computacional del gemelo digital
2034,Scenario_4_MPA_Integrated_Protection,64.14,57.8,69.93,5.33,6.57,Resultado obtenido mediante prototipo computacional del gemelo digital
2035,Scenario_4_MPA_Integrated_Protection,66.43,59.82,72.37,4.46,6.38,Resultado obtenido mediante prototipo computacional del gemelo digital
2036,Scenario_4_MPA_Integrated_Protection,68.45,61.66,74.51,3.72,6.2,Resultado obtenido mediante prototipo computacional del gemelo digital
2037,Scenario_4_MPA_Integrated_Protection,70.23,63.23,76.34,3.08,6.02,Resultado obtenido mediante prototipo computacional del gemelo digital
2038,Scenario_4_MPA_Integrated_Protection,71.71,64.59,77.9,2.54,5.85,Resultado obtenido mediante prototipo computacional del gemelo digital
2039,Scenario_4_MPA_Integrated_Protection,72.93,65.73,79.11,2.08,5.68,Resultado obtenido mediante prototipo computacional del gemelo digital
2040,Scenario_4_MPA_Integrated_Protection,73.9,66.62,80.11,1.71,5.51,Resultado obtenido mediante prototipo computacional del gemelo digital
2041,Scenario_4_MPA_Integrated_Protection,74.64,67.34,80.85,1.39,5.34,Resultado obtenido mediante prototipo computacional del gemelo digital
2042,Scenario_4_MPA_Integrated_Protection,75.17,67.85,81.31,1.13,5.18,Resultado obtenido mediante prototipo computacional del gemelo digital
2043,Scenario_4_MPA_Integrated_Protection,75.5,68.12,81.57,1.0,5.02,Resultado obtenido mediante prototipo computacional del gemelo digital
2044,Scenario_4_MPA_Integrated_Protection,75.61,68.21,81.76,1.0,4.87,Resultado obtenido mediante prototipo computacional del gemelo digital
2045,Scenario_4_MPA_Integrated_Protection,75.56,68.19,81.72,1.0,4.71,Resultado obtenido mediante prototipo computacional del gemelo digital
2046,Scenario_4_MPA_Integrated_Protection,75.36,67.87,81.53,1.0,4.56,Resultado obtenido mediante prototipo computacional del gemelo digital
2047,Scenario_4_MPA_Integrated_Protection,74.98,67.47,81.22,1.0,4.41,Resultado obtenido mediante prototipo computacional del gemelo digital
2048,Scenario_4_MPA_Integrated_Protection,74.46,66.97,80.86,1.0,4.27,Resultado obtenido mediante prototipo computacional del gemelo digital
2049,Scenario_4_MPA_Integrated_Protection,73.88,66.34,80.3,1.0,4.13,Resultado obtenido mediante prototipo computacional del gemelo digital
2050,Scenario_4_MPA_Integrated_Protection,73.18,65.56,79.76,1.0,3.99,Resultado obtenido mediante prototipo computacional del gemelo digital
