Year,Scenario_ID,Projected_DHW_degC_weeks,Projected_pH,Projected_Aragonite_Omega,Live_Coral_Cover_Pct,Macroalgae_Cover_Pct,Shannon_Diversity_H,Net_Calcification_kg_CaCO3_m2_yr,Scientific_Attribution
2037,Scenario_1_Severe_Thermal_Stress_SSP585,13.7,7.896,2.99,1.5,59.11,2.68,0.27,Resultado obtenido mediante prototipo computacional del gemelo digital
2038,Scenario_1_Severe_Thermal_Stress_SSP585,14.05,7.884,2.94,2.37,60.93,2.68,0.11,Resultado obtenido mediante prototipo computacional del gemelo digital
2039,Scenario_1_Severe_Thermal_Stress_SSP585,14.4,7.872,2.88,1.64,62.2,2.67,-0.05,Resultado obtenido mediante prototipo computacional del gemelo digital
2040,Scenario_1_Severe_Thermal_Stress_SSP585,14.75,7.86,2.82,1.5,62.0,2.67,-0.2,Resultado obtenido mediante prototipo computacional del gemelo digital
2041,Scenario_1_Severe_Thermal_Stress_SSP585,15.1,7.848,2.77,1.5,63.67,2.67,-0.35,Resultado obtenido mediante prototipo computacional del gemelo digital
2042,Scenario_1_Severe_Thermal_Stress_SSP585,15.45,7.836,2.72,1.5,65.25,2.67,-0.48,Resultado obtenido mediante prototipo computacional del gemelo digital
2043,Scenario_1_Severe_Thermal_Stress_SSP585,15.8,7.824,2.66,1.5,67.69,2.67,-0.61,Resultado obtenido mediante prototipo computacional del gemelo digital
2044,Scenario_1_Severe_Thermal_Stress_SSP585,16.15,7.812,2.6,1.5,68.42,2.66,-0.74,Resultado obtenido mediante prototipo computacional del gemelo digital
2045,Scenario_1_Severe_Thermal_Stress_SSP585,16.5,7.8,2.55,1.5,69.22,2.66,-0.86,Resultado obtenido mediante prototipo computacional del gemelo digital
2046,Scenario_1_Severe_Thermal_Stress_SSP585,16.85,7.788,2.5,1.95,68.12,2.66,-0.97,Resultado obtenido mediante prototipo computacional del gemelo digital
2047,Scenario_1_Severe_Thermal_Stress_SSP585,17.2,7.776,2.44,1.5,68.52,2.66,-1.08,Resultado obtenido mediante prototipo computacional del gemelo digital
2048,Scenario_1_Severe_Thermal_Stress_SSP585,17.55,7.764,2.38,1.5,68.51,2.65,-1.18,Resultado obtenido mediante prototipo computacional del gemelo digital
2049,Scenario_1_Severe_Thermal_Stress_SSP585,17.9,7.752,2.33,1.5,67.9,2.65,-1.28,Resultado obtenido mediante prototipo computacional del gemelo digital
2050,Scenario_1_Severe_Thermal_Stress_SSP585,18.25,7.74,2.28,1.5,69.04,2.65,-1.37,Resultado obtenido mediante prototipo computacional del gemelo digital
2025,Scenario_2_Moderate_Mitigation_SSP245,5.2,8.04,3.65,31.63,21.56,2.81,6.52,Resultado obtenido mediante prototipo computacional del gemelo digital
2026,Scenario_2_Moderate_Mitigation_SSP245,5.32,8.035,3.63,31.34,22.24,2.77,6.37,Resultado obtenido mediante prototipo computacional del gemelo digital
2027,Scenario_2_Moderate_Mitigation_SSP245,5.44,8.031,3.61,32.0,22.73,2.72,6.22,Resultado obtenido mediante prototipo computacional del gemelo digital
2028,Scenario_2_Moderate_Mitigation_SSP245,5.56,8.026,3.58,31.48,22.12,2.68,6.08,Resultado obtenido mediante prototipo computacional del gemelo digital
2029,Scenario_2_Moderate_Mitigation_SSP245,5.68,8.022,3.56,30.69,23.19,2.64,5.93,Resultado obtenido mediante prototipo computacional del gemelo digital
2030,Scenario_2_Moderate_Mitigation_SSP245,5.8,8.017,3.54,31.09,24.22,2.6,5.79,Resultado obtenido mediante prototipo computacional del gemelo digital
2031,Scenario_2_Moderate_Mitigation_SSP245,5.92,8.013,3.52,30.23,26.06,2.56,5.65,Resultado obtenido mediante prototipo computacional del gemelo digital
2032,Scenario_2_Moderate_Mitigation_SSP245,6.04,8.008,3.5,30.38,25.3,2.52,5.52,Resultado obtenido mediante prototipo computacional del gemelo digital
2033,Scenario_2_Moderate_Mitigation_SSP245,6.16,8.004,3.47,29.84,25.57,2.48,5.38,Resultado obtenido mediante prototipo computacional del gemelo digital
2034,Scenario_2_Moderate_Mitigation_SSP245,6.28,7.999,3.45,29.57,25.92,2.44,5.25,Resultado obtenido mediante prototipo computacional del gemelo digital
2035,Scenario_2_Moderate_Mitigation_SSP245,6.4,7.995,3.43,27.97,25.53,2.4,5.12,Resultado obtenido mediante prototipo computacional del gemelo digital
2036,Scenario_2_Moderate_Mitigation_SSP245,6.52,7.99,3.41,27.59,25.47,2.36,4.99,Resultado obtenido mediante prototipo computacional del gemelo digital
2037,Scenario_2_Moderate_Mitigation_SSP245,6.64,7.986,3.39,26.31,26.33,2.33,4.86,Resultado obtenido mediante prototipo computacional del gemelo digital
2038,Scenario_2_Moderate_Mitigation_SSP245,6.76,7.981,3.36,24.95,25.92,2.3,4.74,Resultado obtenido mediante prototipo computacional del gemelo digital
2039,Scenario_2_Moderate_Mitigation_SSP245,6.88,7.977,3.34,24.61,26.03,2.26,4.62,Resultado obtenido mediante prototipo computacional del gemelo digital
2040,Scenario_2_Moderate_Mitigation_SSP245,7.0,7.972,3.32,24.23,27.11,2.23,4.5,Resultado obtenido mediante prototipo computacional del gemelo digital
2041,Scenario_2_Moderate_Mitigation_SSP245,7.12,7.968,3.3,23.88,28.02,2.2,4.38,Resultado obtenido mediante prototipo computacional del gemelo digital
2042,Scenario_2_Moderate_Mitigation_SSP245,7.24,7.963,3.28,24.19,28.43,2.17,4.26,Resultado obtenido mediante prototipo computacional del gemelo digital
2043,Scenario_2_Moderate_Mitigation_SSP245,7.36,7.959,3.25,24.44,28.51,2.13,4.15,Resultado obtenido mediante prototipo computacional del gemelo digital
2044,Scenario_2_Moderate_Mitigation_SSP245,7.48,7.954,3.23,23.5,29.85,2.1,4.03,Resultado obtenido mediante prototipo computacional del gemelo digital
2045,Scenario_2_Moderate_Mitigation_SSP245,7.6,7.95,3.21,22.57,29.93,2.07,3.92,Resultado obtenido mediante prototipo computacional del gemelo digital
2046,Scenario_2_Moderate_Mitigation_SSP245,7.72,7.945,3.19,22.41,29.83,2.04,3.81,Resultado obtenido mediante prototipo computacional del gemelo digital
2047,Scenario_2_Moderate_Mitigation_SSP245,7.84,7.941,3.17,22.15,31.81,2.01,3.71,Resultado obtenido mediante prototipo computacional del gemelo digital
2048,Scenario_2_Moderate_Mitigation_SSP245,7.96,7.936,3.14,21.87,32.8,1.98,3.6,Resultado obtenido mediante prototipo computacional del gemelo digital
2049,Scenario_2_Moderate_Mitigation_SSP245,8.08,7.932,3.12,21.53,33.09,1.96,3.5,Resultado obtenido mediante prototipo computacional del gemelo digital
2050,Scenario_2_Moderate_Mitigation_SSP245,8.2,7.927,3.1,20.64,33.33,1.93,3.39,Resultado obtenido mediante prototipo computacional del gemelo digital
2025,Scenario_3_Active_Coral_Restoration,7.0,8.04,3.65,35.07,23.41,2.87,5.48,Resultado obtenido mediante prototipo computacional del gemelo digital
2026,Scenario_3_Active_Coral_Restoration,7.2,8.033,3.62,38.55,24.34,2.9,5.27,Resultado obtenido mediante prototipo computacional del gemelo digital
2027,Scenario_3_Active_Coral_Restoration,7.4,8.026,3.58,42.27,23.26,2.93,5.07,Resultado obtenido mediante prototipo computacional del gemelo digital
2028,Scenario_3_Active_Coral_Restoration,7.6,8.019,3.54,44.88,22.98,2.96,4.87,Resultado obtenido mediante prototipo computacional del gemelo digital
2029,Scenario_3_Active_Coral_Restoration,7.8,8.012,3.51,47.22,22.79,2.99,4.67,Resultado obtenido mediante prototipo computacional del gemelo digital
2030,Scenario_3_Active_Coral_Restoration,8.0,8.005,3.48,49.65,22.3,3.02,4.48,Resultado obtenido mediante prototipo computacional del gemelo digital
2031,Scenario_3_Active_Coral_Restoration,8.2,7.998,3.44,53.07,21.55,3.06,4.3,Resultado obtenido mediante prototipo computacional del gemelo digital
2032,Scenario_3_Active_Coral_Restoration,8.4,7.991,3.4,54.93,20.02,3.09,4.12,Resultado obtenido mediante prototipo computacional del gemelo digital
2033,Scenario_3_Active_Coral_Restoration,8.6,7.984,3.37,56.97,19.54,3.13,3.94,Resultado obtenido mediante prototipo computacional del gemelo digital
2034,Scenario_3_Active_Coral_Restoration,8.8,7.977,3.34,59.57,19.28,3.17,3.77,Resultado obtenido mediante prototipo computacional del gemelo digital
2035,Scenario_3_Active_Coral_Restoration,9.0,7.97,3.3,61.06,17.12,3.21,3.61,Resultado obtenido mediante prototipo computacional del gemelo digital
2036,Scenario_3_Active_Coral_Restoration,9.2,7.963,3.26,62.46,15.48,3.25,3.44,Resultado obtenido mediante prototipo computacional del gemelo digital
2037,Scenario_3_Active_Coral_Restoration,9.4,7.956,3.23,64.03,14.49,3.3,3.28,Resultado obtenido mediante prototipo computacional del gemelo digital
2038,Scenario_3_Active_Coral_Restoration,9.6,7.949,3.2,65.22,13.47,3.34,3.13,Resultado obtenido mediante prototipo computacional del gemelo digital
2039,Scenario_3_Active_Coral_Restoration,9.8,7.942,3.16,65.91,11.49,3.38,2.98,Resultado obtenido mediante prototipo computacional del gemelo digital
2040,Scenario_3_Active_Coral_Restoration,10.0,7.935,3.12,67.58,9.84,3.43,2.83,Resultado obtenido mediante prototipo computacional del gemelo digital
2041,Scenario_3_Active_Coral_Restoration,10.2,7.928,3.09,68.52,7.92,3.47,2.69,Resultado obtenido mediante prototipo computacional del gemelo digital
2042,Scenario_3_Active_Coral_Restoration,10.4,7.921,3.06,69.21,8.91,3.52,2.55,Resultado obtenido mediante prototipo computacional del gemelo digital
2043,Scenario_3_Active_Coral_Restoration,10.6,7.914,3.02,69.91,7.64,3.57,2.42,Resultado obtenido mediante prototipo computacional del gemelo digital
2044,Scenario_3_Active_Coral_Restoration,10.8,7.907,2.98,71.0,7.63,3.6,2.29,Resultado obtenido mediante prototipo computacional del gemelo digital
2045,Scenario_3_Active_Coral_Restoration,11.0,7.9,2.95,70.76,6.8,3.6,2.16,Resultado obtenido mediante prototipo computacional del gemelo digital
2046,Scenario_3_Active_Coral_Restoration,11.2,7.893,2.92,71.25,6.0,3.6,2.03,Resultado obtenido mediante prototipo computacional del gemelo digital
2047,Scenario_3_Active_Coral_Restoration,11.4,7.886,2.88,72.19,5.35,3.6,1.91,Resultado obtenido mediante prototipo computacional del gemelo digital
2048,Scenario_3_Active_Coral_Restoration,11.6,7.879,2.84,73.78,5.67,3.6,1.8,Resultado obtenido mediante prototipo computacional del gemelo digital
2049,Scenario_3_Active_Coral_Restoration,11.8,7.872,2.81,74.66,6.13,3.6,1.68,Resultado obtenido mediante prototipo computacional del gemelo digital
2050,Scenario_3_Active_Coral_Restoration,12.0,7.865,2.78,75.49,5.99,3.6,1.57,Resultado obtenido mediante prototipo computacional del gemelo digital
2025,Scenario_4_MPA_Integrated_Protection,6.5,8.04,3.65,35.34,19.91,2.87,5.76,Resultado obtenido mediante prototipo computacional del gemelo digital
2026,Scenario_4_MPA_Integrated_Protection,6.68,8.034,3.62,38.54,17.69,2.9,5.56,Resultado obtenido mediante prototipo computacional del gemelo digital
2027,Scenario_4_MPA_Integrated_Protection,6.86,8.028,3.59,40.53,15.27,2.93,5.38,Resultado obtenido mediante prototipo computacional del gemelo digital
2028,Scenario_4_MPA_Integrated_Protection,7.04,8.022,3.56,44.13,13.68,2.96,5.19,Resultado obtenido mediante prototipo computacional del gemelo digital
2029,Scenario_4_MPA_Integrated_Protection,7.22,8.016,3.53,47.02,12.29,2.99,5.01,Resultado obtenido mediante prototipo computacional del gemelo digital
2030,Scenario_4_MPA_Integrated_Protection,7.4,8.01,3.5,48.68,10.43,3.02,4.84,Resultado obtenido mediante prototipo computacional del gemelo digital
2031,Scenario_4_MPA_Integrated_Protection,7.58,8.004,3.47,51.96,8.06,3.05,4.66,Resultado obtenido mediante prototipo computacional del gemelo digital
2032,Scenario_4_MPA_Integrated_Protection,7.76,7.998,3.44,54.71,6.12,3.09,4.5,Resultado obtenido mediante prototipo computacional del gemelo digital
2033,Scenario_4_MPA_Integrated_Protection,7.94,7.992,3.41,56.77,4.94,3.13,4.33,Resultado obtenido mediante prototipo computacional del gemelo digital
2034,Scenario_4_MPA_Integrated_Protection,8.12,7.986,3.38,58.5,4.94,3.17,4.17,Resultado obtenido mediante prototipo computacional del gemelo digital
2035,Scenario_4_MPA_Integrated_Protection,8.3,7.98,3.35,60.41,3.43,3.21,4.01,Resultado obtenido mediante prototipo computacional del gemelo digital
2036,Scenario_4_MPA_Integrated_Protection,8.48,7.974,3.32,63.13,3.17,3.25,3.86,Resultado obtenido mediante prototipo computacional del gemelo digital
2037,Scenario_4_MPA_Integrated_Protection,8.66,7.968,3.29,64.91,2.0,3.29,3.71,Resultado obtenido mediante prototipo computacional del gemelo digital
2038,Scenario_4_MPA_Integrated_Protection,8.84,7.962,3.26,66.83,2.76,3.34,3.57,Resultado obtenido mediante prototipo computacional del gemelo digital
2039,Scenario_4_MPA_Integrated_Protection,9.02,7.956,3.23,68.06,3.4,3.38,3.42,Resultado obtenido mediante prototipo computacional del gemelo digital
2040,Scenario_4_MPA_Integrated_Protection,9.2,7.95,3.2,69.02,2.25,3.43,3.28,Resultado obtenido mediante prototipo computacional del gemelo digital
2041,Scenario_4_MPA_Integrated_Protection,9.38,7.944,3.17,70.28,2.0,3.48,3.15,Resultado obtenido mediante prototipo computacional del gemelo digital
2042,Scenario_4_MPA_Integrated_Protection,9.56,7.938,3.14,72.4,2.64,3.52,3.01,Resultado obtenido mediante prototipo computacional del gemelo digital
2043,Scenario_4_MPA_Integrated_Protection,9.74,7.932,3.11,72.48,2.07,3.57,2.88,Resultado obtenido mediante prototipo computacional del gemelo digital
2044,Scenario_4_MPA_Integrated_Protection,9.92,7.926,3.08,73.18,2.0,3.6,2.76,Resultado obtenido mediante prototipo computacional del gemelo digital
2045,Scenario_4_MPA_Integrated_Protection,10.1,7.92,3.05,74.05,2.0,3.6,2.63,Resultado obtenido mediante prototipo computacional del gemelo digital
2046,Scenario_4_MPA_Integrated_Protection,10.28,7.914,3.02,74.65,2.0,3.6,2.51,Resultado obtenido mediante prototipo computacional del gemelo digital
2047,Scenario_4_MPA_Integrated_Protection,10.46,7.908,2.99,75.14,2.07,3.6,2.39,Resultado obtenido mediante prototipo computacional del gemelo digital
2048,Scenario_4_MPA_Integrated_Protection,10.64,7.902,2.96,75.66,2.0,3.6,2.28,Resultado obtenido mediante prototipo computacional del gemelo digital
2049,Scenario_4_MPA_Integrated_Protection,10.82,7.896,2.93,75.69,2.17,3.6,2.17,Resultado obtenido mediante prototipo computacional del gemelo digital
2050,Scenario_4_MPA_Integrated_Protection,11.0,7.89,2.9,75.46,2.0,3.6,2.06,Resultado obtenido mediante prototipo computacional del gemelo digital
