Record_ID,Date,Latitude,Longitude,Turbidity_NTU,PAR_umol_m2_s,B2_Blue_Reflectance,B3_Green_Reflectance,B4_Red_Reflectance,B8_NIR_Reflectance,Kd_490_m_inv,Scientific_Attribution
67,2015-12-25,18.2457,-87.79228,0.33,982.6,0.0425,0.0573,0.0204,0.0027,0.05,Resultado obtenido mediante prototipo computacional del gemelo digital
68,2016-01-02,18.2635,-87.81089,0.57,1077.3,0.0455,0.0638,0.019,0.0037,0.061,Resultado obtenido mediante prototipo computacional del gemelo digital
69,2016-01-04,18.26328,-87.81252,0.52,1044.1,0.0463,0.0668,0.0244,0.003,0.058,Resultado obtenido mediante prototipo computacional del gemelo digital
70,2016-01-23,18.24169,-87.78881,0.58,1114.7,0.045,0.07,0.024,0.0034,0.061,Resultado obtenido mediante prototipo computacional del gemelo digital
71,2016-01-29,18.25566,-87.78807,0.3,1245.7,0.0461,0.0547,0.0245,0.0036,0.048,Resultado obtenido mediante prototipo computacional del gemelo digital
72,2016-02-07,18.23919,-87.79771,0.54,1227.9,0.0456,0.0612,0.0172,0.0028,0.059,Resultado obtenido mediante prototipo computacional del gemelo digital
73,2016-02-13,18.26284,-87.78965,1.67,1181.0,0.0465,0.0623,0.024,0.0027,0.11,Resultado obtenido mediante prototipo computacional del gemelo digital
74,2016-02-15,18.24832,-87.7925,0.86,1249.6,0.0445,0.0614,0.0219,0.0034,0.074,Resultado obtenido mediante prototipo computacional del gemelo digital
75,2016-02-16,18.24453,-87.78594,0.36,1336.8,0.0486,0.0654,0.0206,0.0033,0.051,Resultado obtenido mediante prototipo computacional del gemelo digital
76,2016-02-19,18.25474,-87.81476,0.16,1315.9,0.0438,0.0642,0.0237,0.0027,0.042,Resultado obtenido mediante prototipo computacional del gemelo digital
77,2016-02-20,18.25985,-87.79361,0.16,1352.9,0.0418,0.0694,0.0228,0.0021,0.042,Resultado obtenido mediante prototipo computacional del gemelo digital
78,2016-03-08,18.24073,-87.80121,0.42,1557.0,0.0415,0.0637,0.0235,0.0028,0.054,Resultado obtenido mediante prototipo computacional del gemelo digital
79,2016-03-14,18.23657,-87.81021,0.58,1478.3,0.0427,0.0582,0.0243,0.0035,0.061,Resultado obtenido mediante prototipo computacional del gemelo digital
80,2016-03-15,18.25845,-87.80559,0.24,1505.9,0.0421,0.068,0.0189,0.0025,0.046,Resultado obtenido mediante prototipo computacional del gemelo digital
81,2016-03-19,18.24731,-87.8101,0.53,1534.8,0.0426,0.0602,0.0204,0.0032,0.059,Resultado obtenido mediante prototipo computacional del gemelo digital
82,2016-03-26,18.25158,-87.80851,0.25,1572.4,0.0478,0.0684,0.0176,0.0027,0.046,Resultado obtenido mediante prototipo computacional del gemelo digital
83,2016-04-02,18.2424,-87.78572,0.23,1594.9,0.0417,0.0636,0.0228,0.0024,0.045,Resultado obtenido mediante prototipo computacional del gemelo digital
84,2016-04-06,18.24007,-87.80445,0.36,1718.8,0.0469,0.069,0.0187,0.0024,0.051,Resultado obtenido mediante prototipo computacional del gemelo digital
85,2016-04-08,18.23799,-87.7969,1.41,1721.6,0.0461,0.0633,0.0177,0.0023,0.098,Resultado obtenido mediante prototipo computacional del gemelo digital
86,2016-04-10,18.26391,-87.81095,1.13,1722.5,0.0481,0.0633,0.0205,0.003,0.086,Resultado obtenido mediante prototipo computacional del gemelo digital
87,2016-04-23,18.2384,-87.78509,1.12,1696.5,0.0412,0.0679,0.0247,0.004,0.085,Resultado obtenido mediante prototipo computacional del gemelo digital
88,2016-05-01,18.24694,-87.79082,0.49,1883.6,0.0428,0.0594,0.0197,0.0022,0.057,Resultado obtenido mediante prototipo computacional del gemelo digital
89,2016-05-10,18.25244,-87.80739,0.67,1858.3,0.048,0.0672,0.0242,0.0025,0.065,Resultado obtenido mediante prototipo computacional del gemelo digital
90,2016-05-16,18.24365,-87.80604,0.33,1868.0,0.0427,0.0673,0.0231,0.0028,0.05,Resultado obtenido mediante prototipo computacional del gemelo digital
91,2016-05-26,18.23743,-87.79011,0.56,1919.9,0.0435,0.0634,0.025,0.0021,0.06,Resultado obtenido mediante prototipo computacional del gemelo digital
92,2016-06-11,18.255,-87.81141,0.12,1872.5,0.0441,0.0656,0.0206,0.0036,0.04,Resultado obtenido mediante prototipo computacional del gemelo digital
93,2016-06-18,18.25071,-87.80653,1.1,1864.0,0.0433,0.0614,0.019,0.0034,0.084,Resultado obtenido mediante prototipo computacional del gemelo digital
94,2016-06-22,18.24698,-87.79704,0.5,1865.8,0.0422,0.0661,0.0224,0.0022,0.058,Resultado obtenido mediante prototipo computacional del gemelo digital
95,2016-06-28,18.26,-87.80591,1.02,1837.8,0.0405,0.0604,0.0183,0.0036,0.081,Resultado obtenido mediante prototipo computacional del gemelo digital
96,2016-07-05,18.2373,-87.81002,0.9,1671.9,0.0447,0.0683,0.0192,0.0024,0.076,Resultado obtenido mediante prototipo computacional del gemelo digital
97,2016-07-08,18.24093,-87.80958,1.39,1815.5,0.0478,0.0544,0.0231,0.0021,0.098,Resultado obtenido mediante prototipo computacional del gemelo digital
98,2016-07-15,18.24263,-87.80614,0.72,1689.3,0.0401,0.0653,0.0242,0.0038,0.067,Resultado obtenido mediante prototipo computacional del gemelo digital
99,2016-07-21,18.25874,-87.78753,1.28,1598.8,0.0461,0.057,0.0196,0.0022,0.093,Resultado obtenido mediante prototipo computacional del gemelo digital
100,2016-07-27,18.23539,-87.8082,1.2,1663.7,0.0448,0.0621,0.0235,0.0037,0.089,Resultado obtenido mediante prototipo computacional del gemelo digital
101,2016-08-25,18.23704,-87.80845,0.66,1467.3,0.048,0.057,0.0206,0.0023,0.065,Resultado obtenido mediante prototipo computacional del gemelo digital
102,2016-08-28,18.2435,-87.78988,0.41,1385.5,0.0403,0.0651,0.0212,0.0037,0.053,Resultado obtenido mediante prototipo computacional del gemelo digital
103,2016-09-13,18.23577,-87.7984,0.76,1233.4,0.0452,0.0639,0.0182,0.0037,0.069,Resultado obtenido mediante prototipo computacional del gemelo digital
104,2016-10-04,18.26452,-87.79111,0.53,1215.1,0.0456,0.0639,0.0231,0.0036,0.059,Resultado obtenido mediante prototipo computacional del gemelo digital
105,2016-10-06,18.23567,-87.78534,0.42,1136.4,0.0464,0.0679,0.0184,0.0035,0.054,Resultado obtenido mediante prototipo computacional del gemelo digital
106,2016-10-12,18.25442,-87.78969,0.19,1161.2,0.0457,0.065,0.0234,0.0022,0.044,Resultado obtenido mediante prototipo computacional del gemelo digital
107,2016-10-19,18.23704,-87.80956,1.27,1087.0,0.0492,0.0605,0.0177,0.0026,0.092,Resultado obtenido mediante prototipo computacional del gemelo digital
108,2016-11-01,18.23883,-87.80273,1.11,1099.6,0.0438,0.0601,0.023,0.0029,0.085,Resultado obtenido mediante prototipo computacional del gemelo digital
109,2016-11-07,18.25982,-87.80736,0.44,1037.6,0.0461,0.0585,0.0235,0.003,0.055,Resultado obtenido mediante prototipo computacional del gemelo digital
110,2016-11-13,18.25582,-87.80952,0.19,989.7,0.0433,0.0659,0.0171,0.0023,0.044,Resultado obtenido mediante prototipo computacional del gemelo digital
111,2016-11-22,18.25426,-87.80673,0.3,974.1,0.0479,0.063,0.0177,0.0033,0.048,Resultado obtenido mediante prototipo computacional del gemelo digital
112,2016-11-24,18.24654,-87.80192,0.7,1031.2,0.0416,0.0647,0.0175,0.0028,0.066,Resultado obtenido mediante prototipo computacional del gemelo digital
113,2016-12-06,18.2609,-87.80574,0.96,997.5,0.0487,0.0561,0.0214,0.0039,0.078,Resultado obtenido mediante prototipo computacional del gemelo digital
114,2016-12-13,18.23671,-87.81087,1.06,993.6,0.0413,0.055,0.025,0.0039,0.083,Resultado obtenido mediante prototipo computacional del gemelo digital
115,2016-12-19,18.23751,-87.80342,0.83,976.8,0.0414,0.0697,0.0249,0.0025,0.072,Resultado obtenido mediante prototipo computacional del gemelo digital
116,2017-01-14,18.25408,-87.80305,0.48,1132.6,0.0484,0.0572,0.0223,0.003,0.057,Resultado obtenido mediante prototipo computacional del gemelo digital
117,2017-01-16,18.2621,-87.80698,0.31,1179.4,0.0445,0.0562,0.0236,0.0038,0.049,Resultado obtenido mediante prototipo computacional del gemelo digital
118,2017-01-22,18.24418,-87.81309,0.3,1207.1,0.0475,0.0665,0.0205,0.0032,0.048,Resultado obtenido mediante prototipo computacional del gemelo digital
119,2017-01-25,18.24421,-87.78921,0.38,1212.8,0.0482,0.066,0.0194,0.0031,0.052,Resultado obtenido mediante prototipo computacional del gemelo digital
120,2017-02-15,18.26297,-87.78698,1.08,1365.3,0.049,0.0542,0.0214,0.0025,0.084,Resultado obtenido mediante prototipo computacional del gemelo digital
121,2017-02-20,18.25389,-87.7891,0.16,1418.4,0.0439,0.0566,0.0206,0.0029,0.042,Resultado obtenido mediante prototipo computacional del gemelo digital
122,2017-02-26,18.26108,-87.7991,0.38,1391.3,0.0468,0.0541,0.0235,0.0037,0.052,Resultado obtenido mediante prototipo computacional del gemelo digital
123,2017-03-01,18.26086,-87.81184,0.59,1450.6,0.048,0.0579,0.0179,0.0038,0.062,Resultado obtenido mediante prototipo computacional del gemelo digital
124,2017-03-09,18.25732,-87.79367,0.78,1495.2,0.0456,0.0577,0.0228,0.0032,0.07,Resultado obtenido mediante prototipo computacional del gemelo digital
125,2017-03-16,18.26132,-87.7918,0.27,1599.6,0.0406,0.0551,0.0183,0.0035,0.047,Resultado obtenido mediante prototipo computacional del gemelo digital
126,2017-03-20,18.24478,-87.78638,0.96,1515.9,0.0407,0.0585,0.0209,0.0038,0.078,Resultado obtenido mediante prototipo computacional del gemelo digital
127,2017-03-21,18.24518,-87.79373,0.3,1582.6,0.0486,0.0565,0.0173,0.0039,0.048,Resultado obtenido mediante prototipo computacional del gemelo digital
128,2017-03-22,18.26009,-87.79993,0.47,1523.2,0.0463,0.0564,0.0231,0.0027,0.056,Resultado obtenido mediante prototipo computacional del gemelo digital
129,2017-03-28,18.24734,-87.7951,0.39,1712.9,0.0436,0.0552,0.0245,0.0021,0.053,Resultado obtenido mediante prototipo computacional del gemelo digital
130,2017-04-18,18.25361,-87.80067,0.95,1790.9,0.0456,0.0694,0.0203,0.0036,0.078,Resultado obtenido mediante prototipo computacional del gemelo digital
131,2017-04-19,18.26279,-87.79642,1.51,1728.3,0.0411,0.0617,0.0208,0.0032,0.103,Resultado obtenido mediante prototipo computacional del gemelo digital
132,2017-04-22,18.24079,-87.80086,0.54,1787.6,0.0485,0.0543,0.021,0.0021,0.059,Resultado obtenido mediante prototipo computacional del gemelo digital
133,2017-04-27,18.25136,-87.80879,0.29,1803.3,0.0498,0.0573,0.0203,0.0037,0.048,Resultado obtenido mediante prototipo computacional del gemelo digital
134,2017-05-10,18.24347,-87.81257,0.34,1908.4,0.0433,0.058,0.0172,0.0028,0.05,Resultado obtenido mediante prototipo computacional del gemelo digital
135,2017-05-14,18.26118,-87.81239,0.51,1848.5,0.0453,0.0607,0.0243,0.0026,0.058,Resultado obtenido mediante prototipo computacional del gemelo digital
136,2017-05-21,18.25874,-87.79696,0.14,1911.0,0.0493,0.0583,0.0188,0.0025,0.041,Resultado obtenido mediante prototipo computacional del gemelo digital
137,2017-05-24,18.25289,-87.80046,1.26,1749.3,0.041,0.0588,0.0219,0.003,0.092,Resultado obtenido mediante prototipo computacional del gemelo digital
138,2017-05-29,18.25033,-87.80214,1.17,1869.7,0.0432,0.066,0.0191,0.0025,0.088,Resultado obtenido mediante prototipo computacional del gemelo digital
139,2017-06-12,18.24428,-87.7869,0.69,1828.3,0.0499,0.0692,0.0181,0.0035,0.066,Resultado obtenido mediante prototipo computacional del gemelo digital
140,2017-06-22,18.24322,-87.79017,0.61,1774.4,0.048,0.0682,0.0238,0.0033,0.062,Resultado obtenido mediante prototipo computacional del gemelo digital
141,2017-07-01,18.25589,-87.80921,1.52,1776.5,0.0471,0.0625,0.019,0.0034,0.103,Resultado obtenido mediante prototipo computacional del gemelo digital
142,2017-07-14,18.23872,-87.81136,0.48,1825.8,0.0419,0.0562,0.0182,0.0038,0.057,Resultado obtenido mediante prototipo computacional del gemelo digital
143,2017-07-15,18.24657,-87.7998,0.34,1684.1,0.0464,0.0614,0.0194,0.0021,0.05,Resultado obtenido mediante prototipo computacional del gemelo digital
144,2017-07-16,18.24474,-87.79482,1.02,1674.5,0.0432,0.0558,0.0228,0.0023,0.081,Resultado obtenido mediante prototipo computacional del gemelo digital
145,2017-07-18,18.25876,-87.80293,0.84,1759.0,0.0436,0.0678,0.0219,0.0038,0.073,Resultado obtenido mediante prototipo computacional del gemelo digital
146,2017-07-21,18.25352,-87.78846,0.37,1709.8,0.0415,0.059,0.0194,0.0039,0.052,Resultado obtenido mediante prototipo computacional del gemelo digital
147,2017-08-06,18.23787,-87.80243,0.57,1518.2,0.0417,0.0541,0.0206,0.0025,0.061,Resultado obtenido mediante prototipo computacional del gemelo digital
148,2017-08-07,18.25585,-87.81468,0.54,1527.6,0.0464,0.0575,0.0249,0.0037,0.059,Resultado obtenido mediante prototipo computacional del gemelo digital
149,2017-08-10,18.25509,-87.80293,0.56,1519.7,0.0499,0.0562,0.0191,0.0026,0.06,Resultado obtenido mediante prototipo computacional del gemelo digital
150,2017-08-22,18.26016,-87.79074,0.15,1493.4,0.0461,0.0641,0.022,0.0032,0.042,Resultado obtenido mediante prototipo computacional del gemelo digital
151,2017-09-17,18.24786,-87.79614,1.55,1186.3,0.0417,0.056,0.0221,0.0025,0.105,Resultado obtenido mediante prototipo computacional del gemelo digital
152,2017-09-24,18.26052,-87.79277,0.29,1221.6,0.0475,0.0617,0.0246,0.0033,0.048,Resultado obtenido mediante prototipo computacional del gemelo digital
153,2017-10-03,18.26362,-87.78903,0.27,1143.4,0.0446,0.0645,0.0232,0.0037,0.047,Resultado obtenido mediante prototipo computacional del gemelo digital
154,2017-10-08,18.25751,-87.80568,0.44,1134.5,0.041,0.0584,0.0249,0.0025,0.055,Resultado obtenido mediante prototipo computacional del gemelo digital
155,2017-10-22,18.2649,-87.80219,0.36,1167.6,0.0458,0.067,0.0236,0.0039,0.051,Resultado obtenido mediante prototipo computacional del gemelo digital
156,2017-10-24,18.2504,-87.79354,0.34,1119.3,0.0443,0.0648,0.0181,0.0025,0.05,Resultado obtenido mediante prototipo computacional del gemelo digital
157,2017-10-26,18.23874,-87.78616,0.12,1048.2,0.0489,0.063,0.0217,0.0038,0.04,Resultado obtenido mediante prototipo computacional del gemelo digital
158,2017-10-31,18.2646,-87.80747,0.48,1072.9,0.0462,0.0542,0.0206,0.0037,0.057,Resultado obtenido mediante prototipo computacional del gemelo digital
159,2017-11-03,18.25627,-87.79737,0.53,991.8,0.0496,0.0626,0.0215,0.0021,0.059,Resultado obtenido mediante prototipo computacional del gemelo digital
160,2017-11-08,18.25539,-87.79789,1.66,945.1,0.044,0.0634,0.0215,0.0033,0.11,Resultado obtenido mediante prototipo computacional del gemelo digital
161,2017-11-13,18.23772,-87.79496,1.08,1011.9,0.0423,0.0543,0.0173,0.0028,0.084,Resultado obtenido mediante prototipo computacional del gemelo digital
162,2017-11-19,18.24056,-87.80954,1.33,951.4,0.0468,0.0643,0.0203,0.0031,0.095,Resultado obtenido mediante prototipo computacional del gemelo digital
163,2017-11-27,18.25244,-87.79345,0.39,1009.4,0.0499,0.0632,0.0236,0.0029,0.053,Resultado obtenido mediante prototipo computacional del gemelo digital
164,2017-12-14,18.23819,-87.79035,0.35,1043.5,0.0402,0.0623,0.0218,0.0025,0.051,Resultado obtenido mediante prototipo computacional del gemelo digital
165,2017-12-16,18.23523,-87.80024,1.4,958.1,0.0421,0.0611,0.0189,0.0023,0.098,Resultado obtenido mediante prototipo computacional del gemelo digital
166,2017-12-27,18.25646,-87.80687,0.29,959.1,0.0482,0.0574,0.0212,0.0025,0.048,Resultado obtenido mediante prototipo computacional del gemelo digital
167,2017-12-30,18.2574,-87.81462,0.12,1009.2,0.0448,0.0575,0.0245,0.0022,0.04,Resultado obtenido mediante prototipo computacional del gemelo digital
168,2018-01-15,18.2469,-87.80206,0.84,1089.4,0.0426,0.0543,0.0174,0.0033,0.073,Resultado obtenido mediante prototipo computacional del gemelo digital
169,2018-01-28,18.23874,-87.79543,0.19,1184.1,0.0473,0.0655,0.0223,0.0029,0.044,Resultado obtenido mediante prototipo computacional del gemelo digital
170,2018-02-02,18.24999,-87.79206,0.26,1266.9,0.0444,0.0541,0.022,0.003,0.047,Resultado obtenido mediante prototipo computacional del gemelo digital
171,2018-02-06,18.25073,-87.79499,1.09,1203.9,0.0424,0.0549,0.0247,0.0031,0.084,Resultado obtenido mediante prototipo computacional del gemelo digital
172,2018-02-08,18.24862,-87.79979,1.06,1228.7,0.0401,0.0559,0.023,0.0023,0.083,Resultado obtenido mediante prototipo computacional del gemelo digital
173,2018-02-09,18.25118,-87.80735,0.44,1191.3,0.0437,0.0687,0.0173,0.0035,0.055,Resultado obtenido mediante prototipo computacional del gemelo digital
174,2018-02-20,18.24515,-87.78758,0.31,1361.1,0.0475,0.0589,0.0244,0.0025,0.049,Resultado obtenido mediante prototipo computacional del gemelo digital
175,2018-02-25,18.2571,-87.79997,0.45,1363.1,0.0465,0.06,0.019,0.0022,0.055,Resultado obtenido mediante prototipo computacional del gemelo digital
